ASN,ASN_NAME,SOURCE,ASOF_DATE
3356,LEVEL3,ASRank,2022-09-14
1299,TWELVE99,ASRank,2022-09-14
174,COGENT-174,ASRank,2022-09-14
2914,NTT-LTD-2914,ASRank,2022-09-14
6762,SEABONE-NET,ASRank,2022-09-14
3257,GTT-BACKBONE,ASRank,2022-09-14
6939,HURRICANE,ASRank,2022-09-14
6461,ZAYO-6461,ASRank,2022-09-14
6453,AS6453,ASRank,2022-09-14
3491,BTN-ASN,ASRank,2022-09-14
5511,Opentransit,ASRank,2022-09-14
1273,CW,ASRank,2022-09-14
9002,RETN-AS,ASRank,2022-09-14
4637,ASN-TELSTRA-GLOBAL,ASRank,2022-09-14
12956,TELXIUS,ASRank,2022-09-14
7473,SINGTEL-AS-AP,ASRank,2022-09-14
12389,ROSTELECOM-AS,ASRank,2022-09-14
7922,COMCAST-7922,ASRank,2022-09-14
1239,SPRINTLINK,ASRank,2022-09-14
701,UUNET,ASRank,2022-09-14
9498,BBIL-AP,ASRank,2022-09-14
3320,DTAG,ASRank,2022-09-14
7018,ATT-INTERNET4,ASRank,2022-09-14
31133,MF-MGSM-AS,ASRank,2022-09-14
3216,SOVAM-AS,ASRank,2022-09-14
6830,LibertyGlobal,ASRank,2022-09-14
20485,TRANSTELECOM,ASRank,2022-09-14
37468,ANGOLA-CABLES,ASRank,2022-09-14
3549,LVLT-3549,ASRank,2022-09-14
20764,RASCOM-AS,ASRank,2022-09-14
4826,VOCUS-BACKBONE-AS,ASRank,2022-09-14
13786,SEABRAS-1,ASRank,2022-09-14
15412,FLAG-AS,ASRank,2022-09-14
33891,CORE-BACKBONE,ASRank,2022-09-14
4755,TATACOMM-AS,ASRank,2022-09-14
209,CENTURYLINK-US-LEGACY-QWEST,ASRank,2022-09-14
58453,CMI-INT-HK,ASRank,2022-09-14
28917,Fiord-AS,ASRank,2022-09-14
8359,MTS,ASRank,2022-09-14
8220,COLT,ASRank,2022-09-14
4455,BSO,ASRank,2022-09-14
4766,KIXS-AS-KR,ASRank,2022-09-14
10099,UNICOM-Global,ASRank,2022-09-14
46887,LIGHTOWER,ASRank,2022-09-14
1221,ASN-TELSTRA,ASRank,2022-09-14
9304,HUTCHISON-AS-AP,ASRank,2022-09-14
9049,ERTH-TRANSIT-AS,ASRank,2022-09-14
11164,INTERNET2-I2PX,ASRank,2022-09-14
4809,CHINATELECOM-CORE-WAN-CN2,ASRank,2022-09-14
4134,CHINANET-BACKBONE,ASRank,2022-09-14
31500,GLOBALNET-AS,ASRank,2022-09-14
7843,TWC-7843-BB,ASRank,2022-09-14
35598,INETCOM,ASRank,2022-09-14
9929,CUII,ASRank,2022-09-14
3303,SWISSCOM,ASRank,2022-09-14
6663,TTI-NET,ASRank,2022-09-14
41095,IPTP,ASRank,2022-09-14
5617,TPNET,ASRank,2022-09-14
132602,BANGLADESH-AS-AP,ASRank,2022-09-14
29076,CITYTELECOM-AS,ASRank,2022-09-14
32787,PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK,ASRank,2022-09-14
3326,Datagroup,ASRank,2022-09-14
24482,SGGS-AS-AP,ASRank,2022-09-14
23520,COLUMBUS-NETWORKS,ASRank,2022-09-14
3223,VOXILITY,ASRank,2022-09-14
22773,ASN-CXA-ALL-CCI-22773-RDC,ASRank,2022-09-14
7545,TPG-INTERNET-AP,ASRank,2022-09-14
12741,AS-NETIA,ASRank,2022-09-14
7713,telkomnet-as-ap,ASRank,2022-09-14
2516,KDDI,ASRank,2022-09-14
2497,IIJ,ASRank,2022-09-14
577,BACOM,ASRank,2022-09-14
207351,TRANSROUTE-2,ASRank,2022-09-14
7029,WINDSTREAM,ASRank,2022-09-14
35297,DATALINE-AS,ASRank,2022-09-14
2828,XO-AS15,ASRank,2022-09-14
12714,TI-AS,ASRank,2022-09-14
20562,OPEN-PEERING-AS,ASRank,2022-09-14
20473,AS-CHOOPA,ASRank,2022-09-14
20965,GEANT,ASRank,2022-09-14
9318,SKB-AS,ASRank,2022-09-14
13335,CLOUDFLARENET,ASRank,2022-09-14
3786,LGDACOM,ASRank,2022-09-14
37100,SEACOM-AS,ASRank,2022-09-14
25291,INTERLINK-SYSELEVEN,ASRank,2022-09-14
8966,Etisalat-AS,ASRank,2022-09-14
20115,CHARTER-20115,ASRank,2022-09-14
7474,OPTUSCOM-AS01-AU,ASRank,2022-09-14
1828,UNITAS,ASRank,2022-09-14
9505,TWGATE-AP,ASRank,2022-09-14
39533,asympto,ASRank,2022-09-14
9121,TTNet,ASRank,2022-09-14
20804,ASN-TELENERGO,ASRank,2022-09-14
10075,FGL-AS-BD,ASRank,2022-09-14
8732,COMCOR-AS,ASRank,2022-09-14
29049,Delta-Telecom-AS,ASRank,2022-09-14
8218,NEO-ASN,ASRank,2022-09-14
31042,SERBIA-BROADBAND-AS,ASRank,2022-09-14
8708,RCS-RDS,ASRank,2022-09-14
50607,EPIX-KTW-GlobalMix,ASRank,2022-09-14
38195,SUPERLOOP-AS-AP,ASRank,2022-09-14
6128,CABLE-NET-1,ASRank,2022-09-14
37662,WIOCC-AS,ASRank,2022-09-14
54004,OPTIMUM-WIFI2,ASRank,2022-09-14
64049,RJIPL-SG,ASRank,2022-09-14
49666,TIC-GW-AS,ASRank,2022-09-14
35320,ETT-AS,ASRank,2022-09-14
9583,SIFY-AS-IN,ASRank,2022-09-14
55836,RELIANCEJIO-IN,ASRank,2022-09-14
201053,EPIX-Transit-AS,ASRank,2022-09-14
3255,UARNET-AS,ASRank,2022-09-14
201054,EPIX-PolMix,ASRank,2022-09-14
12552,IPO-EU,ASRank,2022-09-14
1764,NEXTLAYER-AS,ASRank,2022-09-14
21320,GEANT_IAS_VRF,ASRank,2022-09-14
39392,SuperNetwork,ASRank,2022-09-14
43727,KVANT-TELECOM,ASRank,2022-09-14
57724,DDOS-GUARD,ASRank,2022-09-14
136106,FIBERSTAR-AS-ID,ASRank,2022-09-14
58717,SUMMITCOMMUNICATIONS-BD,ASRank,2022-09-14
6327,SHAW,ASRank,2022-09-14
13237,LAMBDANET-AS,ASRank,2022-09-14
32098,TRANSTELCO-INC,ASRank,2022-09-14
55410,VIL-AS-AP,ASRank,2022-09-14
3741,IS,ASRank,2022-09-14
17676,GIGAINFRA,ASRank,2022-09-14
10796,TWC-10796-MIDWEST,ASRank,2022-09-14
62081,EPIX-WAW-GlobalMix,ASRank,2022-09-14
20495,WEDARE,ASRank,2022-09-14
2764,AAPT,ASRank,2022-09-14
8447,A1TELEKOM-AT,ASRank,2022-09-14
5400,BT,ASRank,2022-09-14
852,ASN852,ASRank,2022-09-14
34984,TELLCOM-AS,ASRank,2022-09-14
4657,STARHUB-INTERNET,ASRank,2022-09-14
30844,LIQUID-AS,ASRank,2022-09-14
