ASN,ASN_NAME,SOURCE,ASOF_DATE
265787,MERCREDI,EuroIX,2022-09-16
63293,Facebook Inc AS63293,EuroIX,2022-09-16
52224,LACNIC,EuroIX,2022-09-16
20940,Akamai Technologies,EuroIX,2022-09-16
264846,COLECTOR LACNIC,EuroIX,2022-09-16
264836,APROSVA-CONTENIDO,EuroIX,2022-09-16
39160,SR-IX,EuroIX,2022-09-16
265838,TELECOM,EuroIX,2022-09-16
112,DNS-OARC-112,EuroIX,2022-09-16
6939,Hurricane Electric,EuroIX,2022-09-16
266664,ADEATEL,EuroIX,2022-09-16
42,Woodynet,EuroIX,2022-09-16
265863,JEAPC,EuroIX,2022-09-16
266672,TRONCALNET,EuroIX,2022-09-16
43142,Adeli,EuroIX,2022-09-16
1653,Vetenskapsrådet/Sunet,EuroIX,2022-09-16
38254,Internet Technology Laboratory,EuroIX,2022-09-16
137,GARR,EuroIX,2022-09-16
122,UPMC,EuroIX,2022-09-16
23520,Columbus Networks,EuroIX,2022-09-16
1257,Tele2 Sverige AB,EuroIX,2022-09-16
27708,Grupo Centroamericano de Telecomunicaciones (GCA Telecom),EuroIX,2022-09-16
1003,andrewnet,EuroIX,2022-09-16
141949,JinIX ASN,EuroIX,2022-09-16
16509,Amazon.com,EuroIX,2022-09-16
8075,Microsoft,EuroIX,2022-09-16
3701,Link Oregon (was NERO),EuroIX,2022-09-16
3549,Lumen,EuroIX,2022-09-16
10032,HGC GlobalCentre Limited,EuroIX,2022-09-16
8449,Emitel LLC,EuroIX,2022-09-16
4455,IX Reach,EuroIX,2022-09-16
33845,Bundesamt für Informatik (BIT),EuroIX,2022-09-16
10225,Nettlinx Limited,EuroIX,2022-09-16
34388,TR-IX Route Servers,EuroIX,2022-09-16
10098,Towngas Telecommunications Fixed Network Limited,EuroIX,2022-09-16
16117,Gävle Energi AB,EuroIX,2022-09-16
28053,ONEMAX S.A.,EuroIX,2022-09-16
3255,uarnet,EuroIX,2022-09-16
5050,3ROX (Three Rivers Optical Exchange),EuroIX,2022-09-16
2593,VSIX,EuroIX,2022-09-16
14525,Stellar Technologies,EuroIX,2022-09-16
39126,LNK-IX Route Servers,EuroIX,2022-09-16
3856,Packet Clearing House,EuroIX,2022-09-16
27729,Cable Color El Salvador,EuroIX,2022-09-16
27008,BendTel,EuroIX,2022-09-16
11344,GGC,EuroIX,2022-09-16
51044,RHE-NET,EuroIX,2022-09-16
1136,KPN (AS 1136),EuroIX,2022-09-16
3267,State Institute of Information Technologies and Telecommunications,EuroIX,2022-09-16
28910,telegraph42,EuroIX,2022-09-16
62079,RapidIX,EuroIX,2022-09-16
25152,RIPE NCC K-Root Operations,EuroIX,2022-09-16
138064,PT. Jinom Network Indonesia,EuroIX,2022-09-16
19039,DurableDNS LLC,EuroIX,2022-09-16
20625,Bollnäs Energi,EuroIX,2022-09-16
7719,August Internet Limited,EuroIX,2022-09-16
968,Packetframe,EuroIX,2022-09-16
263212,NETWORK ACCESS POINT DEL CARIBE - DR,EuroIX,2022-09-16
7175,AUIX/Aussie,EuroIX,2022-09-16
3399,Obenetwork AB,EuroIX,2022-09-16
131713,PT Sano Komunikasi,EuroIX,2022-09-16
8298,IPng Networks GmbH,EuroIX,2022-09-16
262179,Telenetwork de El Salvador S.A de C.V,EuroIX,2022-09-16
2906,Netflix,EuroIX,2022-09-16
3302,Infracom Italia SpA,EuroIX,2022-09-16
3327,Cytic Telecom SPS Rus,EuroIX,2022-09-16
513,CERN,EuroIX,2022-09-16
19037,CLARO,EuroIX,2022-09-16
10099,China Unicom,EuroIX,2022-09-16
31748,Central Oregon Internet Exchange,EuroIX,2022-09-16
210932,ASN 210932,EuroIX,2022-09-16
47237,Nurtelecom,EuroIX,2022-09-16
10103,Hong Kong Broadband Network Ltd,EuroIX,2022-09-16
44024,Radu Draghici,EuroIX,2022-09-16
7195,EdgeUno Inc.,EuroIX,2022-09-16
6536,Citynet,EuroIX,2022-09-16
51043,Aspire Technology Solutions Ltd,EuroIX,2022-09-16
55666,PT Media Sarana Data,EuroIX,2022-09-16
13335,Cloudflare,EuroIX,2022-09-16
135133,ASN 135133,EuroIX,2022-09-16
5433,rokson,EuroIX,2022-09-16
30844,Liquid Intelligent Technologies,EuroIX,2022-09-16
47950,LNK Systems Muntenia,EuroIX,2022-09-16
140731,Tohunet,EuroIX,2022-09-16
51900,Thess-IX-0,EuroIX,2022-09-16
18966,Aurora Payments LLC,EuroIX,2022-09-16
36986,Africom,EuroIX,2022-09-16
8393,ASTEL JSC,EuroIX,2022-09-16
49287,Melbicom,EuroIX,2022-09-16
8220,COLT Telecom B.V.,EuroIX,2022-09-16
23201,ASN 23201,EuroIX,2022-09-16
10118,Hutchison Telephone Co. Ltd.,EuroIX,2022-09-16
12307,Bolliger Network Solutions,EuroIX,2022-09-16
12637,Seeweb s.r.l.,EuroIX,2022-09-16
62887,Whitesky Communications,EuroIX,2022-09-16
21282,KazNIC Organization,EuroIX,2022-09-16
396919,Blade Global (Shadow),EuroIX,2022-09-16
6843,Diginet,EuroIX,2022-09-16
20626,Sandviken Energi AB,EuroIX,2022-09-16
57096,GlobalAsiaTelecom,EuroIX,2022-09-16
5563,CJSC URAL WES,EuroIX,2022-09-16
53046,Universidade Estadual de Ponta Grossa,EuroIX,2022-09-16
10122,BIGO Technology Pte. Ltd,EuroIX,2022-09-16
141939,PT Chayo Anugrah Teknologi,EuroIX,2022-09-16
57976,Blizzard Entertainment,EuroIX,2022-09-16
12874,FASTWEB S.p.A.,EuroIX,2022-09-16
212534,JASONYEN,EuroIX,2022-09-16
47782,FastNet,EuroIX,2022-09-16
206628,Tianyu Zhu,EuroIX,2022-09-16
45287,"Varnion Technology Semesta, PT",EuroIX,2022-09-16
2614,ARNIEC,EuroIX,2022-09-16
37123,Telecontract,EuroIX,2022-09-16
24785,Joint Transit,EuroIX,2022-09-16
8674,NetNod,EuroIX,2022-09-16
137671,ASN 137671,EuroIX,2022-09-16
10222,Multibyte Info Technology Limited,EuroIX,2022-09-16
7615,Bhutan Internet Exchange,EuroIX,2022-09-16
21449,Etat de Geneve - OCSIN,EuroIX,2022-09-16
25091,IP-Max SA,EuroIX,2022-09-16
30081,CacheFly,EuroIX,2022-09-16
30123,ISC F-ROOT DEN2,EuroIX,2022-09-16
21056,Vianova,EuroIX,2022-09-16
25417,Ljusnet,EuroIX,2022-09-16
7341,"Velocity Network, Inc.",EuroIX,2022-09-16
205148,Łukasz Piotrowski,EuroIX,2022-09-16
207071,Fox Networking,EuroIX,2022-09-16
10226,ETL Company Limited,EuroIX,2022-09-16
206001,LNK-IX Route Collectors,EuroIX,2022-09-16
35168,TOO TNS-Plus,EuroIX,2022-09-16
11191,Cal.net (fka Fire2wire),EuroIX,2022-09-16
59813,Delight Networks,EuroIX,2022-09-16
139426,PT Rinjani Citra Solusi,EuroIX,2022-09-16
27669,Rieder Internet,EuroIX,2022-09-16
55039,Fatbeam (was Ednetics),EuroIX,2022-09-16
6768,EurotelPlus,EuroIX,2022-09-16
395378,"Cascade Divide Colo, Inc",EuroIX,2022-09-16
6697,Republican Unitary Telecommunication Enterprise Beltelecom,EuroIX,2022-09-16
8873,Wberg Networks,EuroIX,2022-09-16
43126,"Little Moe, LLC",EuroIX,2022-09-16
57429,ASN 57429,EuroIX,2022-09-16
6789,Limited Liability Company CRELCOM,EuroIX,2022-09-16
210,Utah Education Network,EuroIX,2022-09-16
13030,Init Seven,EuroIX,2022-09-16
34828,intibu global,EuroIX,2022-09-16
37183,Utande Internet Services,EuroIX,2022-09-16
29222,Infomaniak Network SA,EuroIX,2022-09-16
62061,GreekStream Net,EuroIX,2022-09-16
209334,NICKLAS ADEN,EuroIX,2022-09-16
208592,Avesto,EuroIX,2022-09-16
6830,Liberty Global Services B.V.,EuroIX,2022-09-16
7712,Sabay,EuroIX,2022-09-16
34615,Andrew Vieyra,EuroIX,2022-09-16
27733,Centro Nacional de Computacion,EuroIX,2022-09-16
15169,Google LLC,EuroIX,2022-09-16
11776,Atlantic Broadband Finance PA-VA,EuroIX,2022-09-16
206652,Greece Telecom,EuroIX,2022-09-16
21309,Acantho,EuroIX,2022-09-16
26268,CSIX Route Servers,EuroIX,2022-09-16
8881,Versatel AG,EuroIX,2022-09-16
21183,Vodafone Albania,EuroIX,2022-09-16
28847,Söderhamn Nära,EuroIX,2022-09-16
58273,Broadband for the Rural North (B4RN),EuroIX,2022-09-16
207529,ETHAN-CORDRAY,EuroIX,2022-09-16
10310,Yahoo!,EuroIX,2022-09-16
35202,OTG,EuroIX,2022-09-16
25569,Infocamere,EuroIX,2022-09-16
207841,Inferno Communications,EuroIX,2022-09-16
48292,Alptekin Sunnetci,EuroIX,2022-09-16
19306,"Coastside Net, Inc.",EuroIX,2022-09-16
32931,Peaktera,EuroIX,2022-09-16
28954,Fiberstaden,EuroIX,2022-09-16
25543,Moov Africa Burkina Faso,EuroIX,2022-09-16
14522,Setel (Grupo TVCable),EuroIX,2022-09-16
24796,Namex Rome IXP,EuroIX,2022-09-16
12597,Götalandsnätet AB,EuroIX,2022-09-16
37008,SANCFIS Faso,EuroIX,2022-09-16
136364,Myguru Online India,EuroIX,2022-09-16
28929,AsdAsd,EuroIX,2022-09-16
1239,SprintLink Netherlands B.V.,EuroIX,2022-09-16
37184,Powertel Communications,EuroIX,2022-09-16
133287,Andhra Pradesh State FiberNet,EuroIX,2022-09-16
397373,H4Y Technologies LLC,EuroIX,2022-09-16
53062,ASN 53062,EuroIX,2022-09-16
27768,ASN 27768,EuroIX,2022-09-16
39824,JSC Alma Telecommunications,EuroIX,2022-09-16
397423,Tier.Net Technologies LLC,EuroIX,2022-09-16
53356,Westconnect Communications,EuroIX,2022-09-16
12389,Public Joint Stock Company Rostelecom,EuroIX,2022-09-16
8285,versia,EuroIX,2022-09-16
46997,Nato Research Ltd.,EuroIX,2022-09-16
207842,Bingus Ltd,EuroIX,2022-09-16
12087,Salsgiver,EuroIX,2022-09-16
34756,Infostrada,EuroIX,2022-09-16
26073,Cofractal,EuroIX,2022-09-16
3164,Astimp IT Solution,EuroIX,2022-09-16
21485,Foilhat LLC,EuroIX,2022-09-16
24904,Kwaoo.com,EuroIX,2022-09-16
207537,Stefan Blomme,EuroIX,2022-09-16
37355,Harare IX Route Servers,EuroIX,2022-09-16
29177,Asco Tlc S.p.A.,EuroIX,2022-09-16
13333,Consolidated Communications - PA,EuroIX,2022-09-16
12355,HeLi NET Telekommunikation GmbH & Co. KG,EuroIX,2022-09-16
37204,Telone Zimbabwe,EuroIX,2022-09-16
8636,MAXnet Systems Ltd.,EuroIX,2022-09-16
35360,Gargunet,EuroIX,2022-09-16
48761,DIGIVITY,EuroIX,2022-09-16
43065,Interlan Gefle AB,EuroIX,2022-09-16
210872,LowEnd Network,EuroIX,2022-09-16
31034,Aruba,EuroIX,2022-09-16
211323,MrSheepNET LTD,EuroIX,2022-09-16
3223,Voxility,EuroIX,2022-09-16
31495,Telerete Nordest srl,EuroIX,2022-09-16
8492,OBIT,EuroIX,2022-09-16
19114,Otecel (Telefonica Ecuador),EuroIX,2022-09-16
208889,Rithvik-Nakirikanti,EuroIX,2022-09-16
53189,ASN 53189,EuroIX,2022-09-16
1273,Vodafone Carrier Services,EuroIX,2022-09-16
9902,Neocom,EuroIX,2022-09-16
6853,Orange Business Italy,EuroIX,2022-09-16
41798,JSC Transtelecom,EuroIX,2022-09-16
54133,UNMETERED,EuroIX,2022-09-16
8641,Nauka-Sviaz LTD,EuroIX,2022-09-16
29328,Nisatel,EuroIX,2022-09-16
4181,TDS Telecom (was BendBroadband),EuroIX,2022-09-16
33924,PRONET,EuroIX,2022-09-16
14061,DigitalOcean,EuroIX,2022-09-16
131274,Cypress Telecom Limited,EuroIX,2022-09-16
207722,ASN 207722,EuroIX,2022-09-16
51559,Netinternet Bilişim Teknolojileri Anonim Şirketi,EuroIX,2022-09-16
42275,Three Fourteen,EuroIX,2022-09-16
43685,Mean Servers EU,EuroIX,2022-09-16
18024,Bhutan Telecom Ltd,EuroIX,2022-09-16
61600,UEPG Internet Exchange,EuroIX,2022-09-16
207740,Youssef Hamed,EuroIX,2022-09-16
42909,Community DNS,EuroIX,2022-09-16
12654,Reseaux IP Europeens Network Coordination Centre,EuroIX,2022-09-16
206324,Stellium Datacenters Ltd,EuroIX,2022-09-16
37073,Internet Puissance Plus,EuroIX,2022-09-16
20144,CZ.NIC (ICANN L-ROOT),EuroIX,2022-09-16
131091,Gold Sunshine International Ltd.,EuroIX,2022-09-16
22822,Limelight Networks,EuroIX,2022-09-16
27895,Nucleo S.A,EuroIX,2022-09-16
27795,Netvision S.A.,EuroIX,2022-09-16
65268,CSIX RPKI Validators,EuroIX,2022-09-16
31611,Time-Net S.r.l.,EuroIX,2022-09-16
51132,Arkaden konsult AB,EuroIX,2022-09-16
328235,Harare IX Operations,EuroIX,2022-09-16
141864,Sai Sri Technologies (Myguru),EuroIX,2022-09-16
17976,Cellcard,EuroIX,2022-09-16
36086,Telx New Portal,EuroIX,2022-09-16
17726,TC,EuroIX,2022-09-16
209188,Lin Chenyu,EuroIX,2022-09-16
212360,Jimmy Pan,EuroIX,2022-09-16
64238,DNS-OARC,EuroIX,2022-09-16
8728,INFONET AS,EuroIX,2022-09-16
23955,Tashi InfoComm Ltd,EuroIX,2022-09-16
48503,Mobile Telecom Service LLP,EuroIX,2022-09-16
208108,GREECE TELECOM I.K.E.,EuroIX,2022-09-16
20932,SIG-Services Industriels de Geneve,EuroIX,2022-09-16
13767,DataBank,EuroIX,2022-09-16
34276,Cooperatieve Rabobank U.A.,EuroIX,2022-09-16
3233,INCDI - ICI Bucuresti,EuroIX,2022-09-16
209018,Hubflake,EuroIX,2022-09-16
51833,Anycast ccTLD DNS,EuroIX,2022-09-16
41281,KeFF Networks,EuroIX,2022-09-16
131303,First Cagayan Converge Data Center Inc,EuroIX,2022-09-16
37381,Afrique Technologies et Services (VipNet),EuroIX,2022-09-16
35047,Abissnet,EuroIX,2022-09-16
