ASN,ASN_NAME,SOURCE,ASOF_DATE
35236,AS-2CONNECT,PeeringDB,2021-12-31
35237,AS-SBRF,PeeringDB,2021-12-31
35543,AS-TOBANDO,PeeringDB,2021-12-31
35548,AS-SMARTTERRA,PeeringDB,2021-12-31
35549,AS-METRONET,PeeringDB,2021-12-31
48027,AS-SITROX,PeeringDB,2021-12-31
28999,AS28999,PeeringDB,2021-12-31
262299,AS-262299,PeeringDB,2021-12-31
55293,AS55293:AS-A2HOST,PeeringDB,2021-12-31
132649,AS132649,PeeringDB,2021-12-31
51269,AS-HEXATOM,PeeringDB,2021-12-31
51265,AS-MRS,PeeringDB,2021-12-31
51263,AS-CBB,PeeringDB,2021-12-31
51262,AS-INTERNETGROUP,PeeringDB,2021-12-31
132645,AS132645,PeeringDB,2021-12-31
32233,AS-EASTLINK-WESTERN,PeeringDB,2021-12-31
25061,AS-ANLX,PeeringDB,2021-12-31
61948,AS-INFOMAC,PeeringDB,2021-12-31
25068,AS-KONICAMINOLTA,PeeringDB,2021-12-31
266042,AS-266042,PeeringDB,2021-12-31
262749,AS-262749,PeeringDB,2021-12-31
262748,AS262748:AS-NETJAT,PeeringDB,2021-12-31
205112,RIPE::AS-PHILUNET,PeeringDB,2021-12-31
268309,AS268309:AS-TILOG-TELECOM,PeeringDB,2021-12-31
131111,AS23947:AS-MORATEL,PeeringDB,2021-12-31
6798,RIPE::AS-NET4YOU,PeeringDB,2021-12-31
46130,AS-POSITIVEUSA,PeeringDB,2021-12-31
206701,AS-FIBRACITY,PeeringDB,2021-12-31
4641,AS4641:AS-CUHK-Transit,PeeringDB,2021-12-31
328267,AS328267,PeeringDB,2021-12-31
30708,AS30708,PeeringDB,2021-12-31
25286,AS-IPERCAST,PeeringDB,2021-12-31
52863,AS-UPX,PeeringDB,2021-12-31
16253,RIPE::AS-BORDERLIGHT,PeeringDB,2021-12-31
271,AS-BCNET,PeeringDB,2021-12-31
51847,AS-NEAROUTE,PeeringDB,2021-12-31
16700,AS-16700,PeeringDB,2021-12-31
52468,AS-UFLA-TRANSCUST,PeeringDB,2021-12-31
17253,AS-TEC,PeeringDB,2021-12-31
63026,RADB::AS-DARTPOINTS,PeeringDB,2021-12-31
63027,ARIN::AS-LANICOM,PeeringDB,2021-12-31
63023,AS-GTHOST,PeeringDB,2021-12-31
396278,AS396278,PeeringDB,2021-12-31
10704,AS-10704-MLNET,PeeringDB,2021-12-31
263033,AS-LINXBR,PeeringDB,2021-12-31
141510,AS141510:AS-SET-SOFTNET,PeeringDB,2021-12-31
135692,AS135692:AS-Customers,PeeringDB,2021-12-31
135693,AS135693,PeeringDB,2021-12-31
49565,AS-MAPEKA,PeeringDB,2021-12-31
24889,AS-MONZOON,PeeringDB,2021-12-31
49562,as-xms,PeeringDB,2021-12-31
52180,RIPE::AS-EL,PeeringDB,2021-12-31
19399,AS-SLL,PeeringDB,2021-12-31
267589,AS-267589,PeeringDB,2021-12-31
134618,AS-GERBANGAKSES,PeeringDB,2021-12-31
270065,AS270065,PeeringDB,2021-12-31
203968,RIPE::AS-AITICON,PeeringDB,2021-12-31
203969,AS-YMC,PeeringDB,2021-12-31
134345,AS134345,PeeringDB,2021-12-31
134612,AS134612,PeeringDB,2021-12-31
141125,AS141125,PeeringDB,2021-12-31
45117,AS-45117,PeeringDB,2021-12-31
271229,AS-AMXINTERNET,PeeringDB,2021-12-31
48620,AS-BEAMING,PeeringDB,2021-12-31
266925,RADB::AS-UPIX,PeeringDB,2021-12-31
271220,AS-CLICKINTERNET,PeeringDB,2021-12-31
133695,AS133695:AS-WEFE,PeeringDB,2021-12-31
24088,AS-HANOITELECOM,PeeringDB,2021-12-31
22873,AS-FNI,PeeringDB,2021-12-31
139931,APNIC::AS-SET-BSCCL,PeeringDB,2021-12-31
49300,AS-IBSELEKTRONICS,PeeringDB,2021-12-31
42830,AS-TVSAT364,PeeringDB,2021-12-31
42831,RIPE::AS-UKSERVERS,PeeringDB,2021-12-31
212196,RIPE::AS-PIEQ,PeeringDB,2021-12-31
197451,AS-VUTBR,PeeringDB,2021-12-31
211227,AS-JAVIH,PeeringDB,2021-12-31
211224,AS-JB3,PeeringDB,2021-12-31
62819,AS-TL-163,PeeringDB,2021-12-31
211550,AS-STEENTJESICT,PeeringDB,2021-12-31
211553,AS-211553-TRANSIT,PeeringDB,2021-12-31
2688,AS-ATT2688-REG,PeeringDB,2021-12-31
270288,AS270288,PeeringDB,2021-12-31
270285,AS-LX7,PeeringDB,2021-12-31
2685,AS-ATT2685-REG,PeeringDB,2021-12-31
2686,as-ignemea,PeeringDB,2021-12-31
2687,AS-ATTAP,PeeringDB,2021-12-31
202709,AS-NETOIP,PeeringDB,2021-12-31
202708,AS202708,PeeringDB,2021-12-31
265356,AS-NETPLANETY,PeeringDB,2021-12-31
42031,AS-PLUSTELECOM,PeeringDB,2021-12-31
269819,AS269819:AS-AS269819,PeeringDB,2021-12-31
271080,AS-LEANDRO-ALL,PeeringDB,2021-12-31
14629,AS-14629-PFCS,PeeringDB,2021-12-31
202707,AS-OMNIDAT,PeeringDB,2021-12-31
208431,AS-EFERO,PeeringDB,2021-12-31
62887,RADB::AS-WHITESKY,PeeringDB,2021-12-31
62886,AS62886:AS-OMNITEL,PeeringDB,2021-12-31
208434,AS-MJVT,PeeringDB,2021-12-31
212106,AS-DB,PeeringDB,2021-12-31
58212,RIPE::AS-PHPFRIENDS,PeeringDB,2021-12-31
268638,AS-268638,PeeringDB,2021-12-31
268635,AS-FIBERUP,PeeringDB,2021-12-31
268142,AS268142,PeeringDB,2021-12-31
264196,AS264196,PeeringDB,2021-12-31
264191,AS-EAGNET,PeeringDB,2021-12-31
264193,AS264193:AS-SET,PeeringDB,2021-12-31
13058,AS-FMT32,PeeringDB,2021-12-31
13054,AS-FREINET,PeeringDB,2021-12-31
212109,AS-SQUIRREL,PeeringDB,2021-12-31
33854,AS-HOSTIT-NN,PeeringDB,2021-12-31
18705,AS-BLACKBERRY,PeeringDB,2021-12-31
50311,AS50311,PeeringDB,2021-12-31
41564,AS41564,PeeringDB,2021-12-31
264996,AS-SERVLINK,PeeringDB,2021-12-31
264997,AS-264997,PeeringDB,2021-12-31
398717,ARIN::AS-DURHAM-BROADBAND,PeeringDB,2021-12-31
41562,AS-HOST4ALL,PeeringDB,2021-12-31
211869,AS211869:AS-ALL,PeeringDB,2021-12-31
264998,AS264998,PeeringDB,2021-12-31
62080,AS-KANEY,PeeringDB,2021-12-31
19306,AS19306,PeeringDB,2021-12-31
207787,AS207787:AS-DAILY,PeeringDB,2021-12-31
213201,RIPE::AS-MP,PeeringDB,2021-12-31
270932,AS-IN9NET,PeeringDB,2021-12-31
211715,AS-PARTLIX,PeeringDB,2021-12-31
137645,AS137645:AS-CUSTOMERS,PeeringDB,2021-12-31
29768,AS-ICUBEDEVCGY,PeeringDB,2021-12-31
44421,AS-EVE,PeeringDB,2021-12-31
23059,AS-LLNW,PeeringDB,2021-12-31
40850,AS-UPIX-US,PeeringDB,2021-12-31
136119,AS136119:AS-SET-BALIFIBER,PeeringDB,2021-12-31
47215,AS-FILOO,PeeringDB,2021-12-31
47217,AS-PLANETEL,PeeringDB,2021-12-31
23504,AS-SPEAKEASY,PeeringDB,2021-12-31
141776,AS-BAOSHUO,PeeringDB,2021-12-31
27618,AS-QUICKSTREAM,PeeringDB,2021-12-31
56972,AS-AXON,PeeringDB,2021-12-31
39591,AS-GLOBAL-E,PeeringDB,2021-12-31
39598,AS-TIERA,PeeringDB,2021-12-31
31230,AS-SIXSK-SETS AS-SIXSK-SETS-V6,PeeringDB,2021-12-31
31236,AS-RVK,PeeringDB,2021-12-31
7181,AS-TP7181,PeeringDB,2021-12-31
29104,AS-THALES,PeeringDB,2021-12-31
29107,AS-SYNAPSE,PeeringDB,2021-12-31
207863,AS-ARACHNID,PeeringDB,2021-12-31
12833,AS-GIGAPIX-RS,PeeringDB,2021-12-31
268858,AS268858,PeeringDB,2021-12-31
34554,AS-ANTANET,PeeringDB,2021-12-31
34555,RIPE::AS-CCSLEEDS,PeeringDB,2021-12-31
8015,AS-VISI,PeeringDB,2021-12-31
8546,AS-YOURCOMMS,PeeringDB,2021-12-31
15280,AS-HOSTLEASING,PeeringDB,2021-12-31
8542,AS-BKKB,PeeringDB,2021-12-31
26627,AS-PILOSOFT,PeeringDB,2021-12-31
26622,AS26622,PeeringDB,2021-12-31
42661,RIPE::AS-DETSKYMIR,PeeringDB,2021-12-31
133838,AS133838:INFOTEK-AS-ID,PeeringDB,2021-12-31
7459,AS-GRANDE,PeeringDB,2021-12-31
399005,AS-VOITVENTURES,PeeringDB,2021-12-31
262316,AS-ATEKY,PeeringDB,2021-12-31
58690,AS58690:AS-PEERS,PeeringDB,2021-12-31
34601,RIPE::AS-VIEWPOINT,PeeringDB,2021-12-31
55330,AS55330,PeeringDB,2021-12-31
199714,AS-HERMSIT,PeeringDB,2021-12-31
131471,AS131471,PeeringDB,2021-12-31
10886,AS10886:AS-ALL,PeeringDB,2021-12-31
10881,AS10881:AS-ALL,PeeringDB,2021-12-31
204313,AS-PROXIMUS-IPX,PeeringDB,2021-12-31
131477,AS-BETAIDC,PeeringDB,2021-12-31
52818,AS52818,PeeringDB,2021-12-31
50677,RIPE::AS-MSK910,PeeringDB,2021-12-31
199947,RIPE::AS-NEXUSWAY,PeeringDB,2021-12-31
209703,AS209703:AS-ALL,PeeringDB,2021-12-31
50673,AS-SERVERIUS,PeeringDB,2021-12-31
265053,AS-265053,PeeringDB,2021-12-31
212567,AS-FNMUC,PeeringDB,2021-12-31
24709,AS-MNI,PeeringDB,2021-12-31
212568,AS-EXODUS,PeeringDB,2021-12-31
24703,AS-UNITED,PeeringDB,2021-12-31
61231,AS-SSET,PeeringDB,2021-12-31
213216,AS-VNP,PeeringDB,2021-12-31
61237,AS61237,PeeringDB,2021-12-31
213219,AS-VXSERVERS,PeeringDB,2021-12-31
46131,AS-THEIPGUYS-NET-LLC-DBA-ONENET,PeeringDB,2021-12-31
264679,AS264679,PeeringDB,2021-12-31
6799,AS6799 AS6799:AS-TO-AIX AS-OTENET RIPE::AS-OTENET-V6,PeeringDB,2021-12-31
141331,AS141331:AS-CUSTOMERS,PeeringDB,2021-12-31
267508,AS267508,PeeringDB,2021-12-31
13618,AS-CARONET,PeeringDB,2021-12-31
327768,AS-SOMCAST,PeeringDB,2021-12-31
21470,AS21470,PeeringDB,2021-12-31
4725,RADB::AS-JAPAN-TELECOM RADB::AS-ODN-V6,PeeringDB,2021-12-31
327767,AS-ULS,PeeringDB,2021-12-31
327761,AFRINIC::AS-APT,PeeringDB,2021-12-31
266453,AS266453,PeeringDB,2021-12-31
16066,AS-TESTUA,PeeringDB,2021-12-31
32220,AS-BELD,PeeringDB,2021-12-31
266454,AS-EXPAND,PeeringDB,2021-12-31
11280,AS-SNAPPY,PeeringDB,2021-12-31
11284,AS-DNS-BR:AS-C,PeeringDB,2021-12-31
201427,AS201427,PeeringDB,2021-12-31
56824,AS-VEONET,PeeringDB,2021-12-31
262862,AS-PRTELECOM,PeeringDB,2021-12-31
3742,AS-SEMA,PeeringDB,2021-12-31
3741,AS-IS,PeeringDB,2021-12-31
4621,RADB::AS-UNINET,PeeringDB,2021-12-31
4622,AS-APJII-GLOBAL,PeeringDB,2021-12-31
13536,AS-TVC,PeeringDB,2021-12-31
4628,AS4628:AS-CUSTOMERS,PeeringDB,2021-12-31
13538,AS-NYIIX,PeeringDB,2021-12-31
138726,AS-ONELINKB-AS-IN,PeeringDB,2021-12-31
14726,AS-CHISHOLM,PeeringDB,2021-12-31
57660,AS-COM4,PeeringDB,2021-12-31
57662,AS-PB-SZ,PeeringDB,2021-12-31
28707,RIPE::AS-STUART,PeeringDB,2021-12-31
11758,AS-IRIS-NETWORKS,PeeringDB,2021-12-31
16390,AS-VAL30 AS-SBCIS-7132 AS-ALIENS,PeeringDB,2021-12-31
16397,AS-EC-SP,PeeringDB,2021-12-31
19566,AS-PASON,PeeringDB,2021-12-31
16395,AS-MBIX-RS-MEMBERS,PeeringDB,2021-12-31
28258,AS-VERO-INTERNET,PeeringDB,2021-12-31
20886,RIPE::AS-BLATZ RIPE::AS-BLATZ-V6,PeeringDB,2021-12-31
141592,AS-INFONUSA,PeeringDB,2021-12-31
11017,AS-CPN,PeeringDB,2021-12-31
52106,AS-GALATEA,PeeringDB,2021-12-31
141596,AS141596:AS-WISTEL,PeeringDB,2021-12-31
62502,AS-YEGIX-RS-CLIENTS,PeeringDB,2021-12-31
141840,AS141840,PeeringDB,2021-12-31
