ASN,LATITUDE,LONGITUDE,SOURCE,VALIDATED,STANDARD_LATITUDE,STANDARD_LONGITUDE,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,PHYSICAL_PRESENCE,ASOF_DATE
208800,24.4539,54.3773,RIPEAtlas,,24.4666835724,54.3665933826,Abu Dhabi,Abu Dhabi,AE,False,2022-09-15
15412,25.0265,55.1869,RIPEAtlas,,24.976239033,55.0107401111,Jabal Ali,Dubay,AE,False,2022-09-15
15802,25.0265,55.1869,RIPEAtlas,,24.976239033,55.0107401111,Jabal Ali,Dubay,AE,False,2022-09-15
15802,25.0945,55.152,RIPEAtlas,,24.976239033,55.0107401111,Jabal Ali,Dubay,AE,False,2022-09-15
36236,25.6251,55.8089,RIPEAtlas,,25.7915381053,55.9427762439,Ras al Khaymah,Ras Al Khaymah,AE,False,2022-09-15
42473,25.0283,55.1857,RIPEAtlas,,24.976239033,55.0107401111,Jabal Ali,Dubay,AE,False,2022-09-15
57187,25.0265,55.1869,RIPEAtlas,,24.976239033,55.0107401111,Jabal Ali,Dubay,AE,False,2022-09-15
60924,25.0265,55.1869,RIPEAtlas,,24.976239033,55.0107401111,Jabal Ali,Dubay,AE,False,2022-09-15
12008,25.1308,56.3364,RIPEAtlas,,25.1234393504,56.3374808338,Al Fujayrah,Fujayrah,AE,False,2022-09-15
42409,41.3249,19.8162,RIPEAtlas,,41.3275407095,19.8188830146,Tirana,Durrës,AL,False,2022-09-15
57961,41.3328,19.8061,RIPEAtlas,,41.3275407095,19.8188830146,Tirana,Durrës,AL,False,2022-09-15
51225,40.2064,44.5221,RIPEAtlas,,40.1811507355,44.5135513904,Yerevan,Erevan,AM,False,2022-09-15
28109,-38.7183,-62.2663,RIPEAtlas,,-38.7400268364,-62.2650214047,Bahía Blanca,Ciudad de Buenos Aires,AR,False,2022-09-15
4270,-34.6037,-58.3816,RIPEAtlas,,-34.6025016085,-58.3975313737,Buenos Aires,Ciudad de Buenos Aires,AR,False,2022-09-15
11193,-38.0042,-57.5423,RIPEAtlas,,-38.000020326,-57.5799843766,Mar del Plata,Ciudad de Buenos Aires,AR,False,2022-09-15
264608,-33.8947,-60.5701,RIPEAtlas,,-33.8995987765,-60.5699827491,Pergamino,Ciudad de Buenos Aires,AR,False,2022-09-15
263777,-29.2318,-61.7703,RIPEAtlas,,-28.4661319796,-62.8333071306,Añatuya,Santiago del Estero,AR,False,2022-09-15
11815,-33.0255,-60.6338,RIPEAtlas,,-32.9511295382,-60.6663076188,Rosario,Santa Fe,AR,False,2022-09-15
48362,47.2704,9.6053,RIPEAtlas,,47.1337237743,9.51666947291,Vaduz,,LI,False,2022-09-15
34347,47.2779,11.5031,RIPEAtlas,,47.2804073274,11.4099905992,Innsbruck,Tirol,AT,False,2022-09-15
31510,47.2678,11.4264,RIPEAtlas,,47.2804073274,11.4099905992,Innsbruck,Tirol,AT,False,2022-09-15
1111,46.616,14.2652,RIPEAtlas,,46.6203442577,14.310020303,Klagenfurt,Kärnten,AT,False,2022-09-15
42473,46.6158,14.3182,RIPEAtlas,,46.6203442577,14.310020303,Klagenfurt,Kärnten,AT,False,2022-09-15
61098,46.6143,14.2637,RIPEAtlas,,46.6203442577,14.310020303,Klagenfurt,Kärnten,AT,False,2022-09-15
61438,46.6365,14.3122,RIPEAtlas,,46.6203442577,14.310020303,Klagenfurt,Kärnten,AT,False,2022-09-15
30971,47.792,13.0107,RIPEAtlas,,47.8104783316,13.040020303,Salzburg,Salzburg,AT,False,2022-09-15
39878,47.8225,13.0405,RIPEAtlas,,47.8104783316,13.040020303,Salzburg,Salzburg,AT,False,2022-09-15
5404,47.7904,13.0119,RIPEAtlas,,47.8104783316,13.040020303,Salzburg,Salzburg,AT,False,2022-09-15
1120,48.2082,16.3738,RIPEAtlas,,48.2000152782,16.3666389554,Vienna,Wien,AT,False,2022-09-15
1764,48.2103,16.3785,RIPEAtlas,,48.2000152782,16.3666389554,Vienna,Wien,AT,False,2022-09-15
1853,48.2699,16.409,RIPEAtlas,,48.2000152782,16.3666389554,Vienna,Wien,AT,False,2022-09-15
1853,48.2082,16.3738,RIPEAtlas,,48.2000152782,16.3666389554,Vienna,Wien,AT,False,2022-09-15
212567,48.193,16.3534,RIPEAtlas,,48.2000152782,16.3666389554,Vienna,Wien,AT,False,2022-09-15
30971,48.2009,16.3693,RIPEAtlas,,48.2000152782,16.3666389554,Vienna,Wien,AT,False,2022-09-15
30971,48.269,16.4106,RIPEAtlas,,48.2000152782,16.3666389554,Vienna,Wien,AT,False,2022-09-15
3320,48.1931,16.392,RIPEAtlas,,48.2000152782,16.3666389554,Vienna,Wien,AT,False,2022-09-15
48943,48.2135,16.3565,RIPEAtlas,,48.2000152782,16.3666389554,Vienna,Wien,AT,False,2022-09-15
21013,48.1654,14.0366,RIPEAtlas,,48.3192328075,14.2887812893,Linz,Oberösterreich,AT,False,2022-09-15
137409,-34.9265,138.594,RIPEAtlas,,-34.9349877739,138.600004841,Adelaide,South Australia,AU,False,2022-09-15
137409,-27.4539,153.0332,RIPEAtlas,,-27.4550309054,153.035092732,Brisbane,Queensland,AU,False,2022-09-15
4608,-27.5778,153.0958,RIPEAtlas,,-27.4550309054,153.035092732,Brisbane,Queensland,AU,False,2022-09-15
4608,-27.4709,153.0235,RIPEAtlas,,-27.4550309054,153.035092732,Brisbane,Queensland,AU,False,2022-09-15
4608,-27.4655,153.0296,RIPEAtlas,,-27.4550309054,153.035092732,Brisbane,Queensland,AU,False,2022-09-15
137409,-31.9567,115.7981,RIPEAtlas,,-31.9550146293,115.839998738,Perth,Western Australia,AU,False,2022-09-15
12008,-37.823,144.9154,RIPEAtlas,,-37.8200313123,144.975016235,Melbourne,Victoria,AU,False,2022-09-15
136557,-37.823,144.9154,RIPEAtlas,,-37.8200313123,144.975016235,Melbourne,Victoria,AU,False,2022-09-15
137409,-37.823,144.9154,RIPEAtlas,,-37.8200313123,144.975016235,Melbourne,Victoria,AU,False,2022-09-15
38796,-37.8141,144.9633,RIPEAtlas,,-37.8200313123,144.975016235,Melbourne,Victoria,AU,False,2022-09-15
38880,-37.8215,145.3146,RIPEAtlas,,-38.099600811,145.283369506,Cranbourne,Victoria,AU,False,2022-09-15
4764,-38.2361,146.3992,RIPEAtlas,,-38.1995947075,146.530011759,Traralgon,Victoria,AU,False,2022-09-15
4739,-32.2275,115.9756,RIPEAtlas,,-32.2393900362,115.770235554,Kwinana,Western Australia,AU,False,2022-09-15
12008,-33.9182,151.1893,RIPEAtlas,,-33.9200109672,151.185179809,Sydney,New South Wales,AU,False,2022-09-15
135150,-33.9117,151.1929,RIPEAtlas,,-33.9200109672,151.185179809,Sydney,New South Wales,AU,False,2022-09-15
137409,-33.9182,151.1893,RIPEAtlas,,-33.9200109672,151.185179809,Sydney,New South Wales,AU,False,2022-09-15
