ASN,ORGANIZATION,SOURCE,ASOF_DATE
1200,AMSTERDAM INET EXCH B.V.,PCH,2022-09-14
22697,Roblox,PCH,2022-09-14
200020,Stichting Nationale Beheersorganisatie Internet Providers (NBIP),PCH,2022-09-14
12993,Digitalas Ekonomikas Attistibas Centrs,PCH,2022-09-14
205943,ZEN GLOBAL,PCH,2022-09-14
40805,JMF Solutions Inc,PCH,2022-09-14
8758,Iway AG,PCH,2022-09-14
8821,WWZ Telekom AG,PCH,2022-09-14
42739,HAWE Telekom Sp. z o.o. w restrukturyzacji,PCH,2022-09-14
20773,"GoDaddy.com, Inc ",PCH,2022-09-14
29075,IELO,PCH,2022-09-14
39244,Iddink Group B.V.,PCH,2022-09-14
8304,Ecritel,PCH,2022-09-14
8529,Oman Telecommunications Company S.A.O.G.,PCH,2022-09-14
559,SWITCH,PCH,2022-09-14
1103,SURF B.V.,PCH,2022-09-14
12859,BIT BV,PCH,2022-09-14
2914,NTT,PCH,2022-09-14
112,Ripe NCC,PCH,2022-09-14
58453,China Mobile International Ltd.,PCH,2022-09-14
9145,EWE TEL GmbH,PCH,2022-09-14
2611,Belnet Networks,PCH,2022-09-14
50304,Blix Solutions AS,PCH,2022-09-14
47065,USC / UFMG PEERING Research Testbed,PCH,2022-09-14
3265,XS4ALL Internet BV,PCH,2022-09-14
1140,SIDN,PCH,2022-09-14
8708,RCS & RDS S.A.,PCH,2022-09-14
5390,Euronet Communications B.V.,PCH,2022-09-14
8918,Coolwave Communications Ltd,PCH,2022-09-14
6661,POST Luxembourg,PCH,2022-09-14
15224,Adobe Systems,PCH,2022-09-14
9009,M247 Europe SRL,PCH,2022-09-14
5410,Bouygues Telecom,PCH,2022-09-14
5583,Orange Business Netherlands B.V.,PCH,2022-09-14
1273,Ripe NCC,PCH,2022-09-14
12654,Ripe NCC,PCH,2022-09-14
1257,Ripe NCC,PCH,2022-09-14
15412,Flag Telecom Asia Limited,PCH,2022-09-14
13445,Cisco / WebEx,PCH,2022-09-14
12355,HeLi NET Telekommunikation GmbH & Co. KG,PCH,2022-09-14
702,Verizon Business,PCH,2022-09-14
24730,Garnier Projects BV,PCH,2022-09-14
8426,Claranet Benelux,PCH,2022-09-14
57976,"Blizzard Entertainment, Inc.",PCH,2022-09-14
50923,METRO-SET,PCH,2022-09-14
6774,Belgacom International Carrier Services SA,PCH,2022-09-14
36692,Cisco Systems Inc.,PCH,2022-09-14
8608,EspritXB ,PCH,2022-09-14
47195,Gameforge 4D GmbH,PCH,2022-09-14
5413,Daisy Communications Ltd,PCH,2022-09-14
31027,GlobalConnect A/S,PCH,2022-09-14
1547,TIRASTEL GmbH,PCH,2022-09-14
8473,Bahnhof AB,PCH,2022-09-14
3303,Swisscom (Switzerland) Ltd,PCH,2022-09-14
38040,National Telecom Public Company Limited (Branch 0001),PCH,2022-09-14
3292,TDC A/S,PCH,2022-09-14
6830,Liberty Global Services B.V.,PCH,2022-09-14
20495,We Dare B.V.,PCH,2022-09-14
5400,BT ,PCH,2022-09-14
3356,Level 3 Communications,PCH,2022-09-14
30132,Internet Systems Consortium (ISC),PCH,2022-09-14
41327,Fiber Telecom S.p.A.,PCH,2022-09-14
15830,Equinix (Services) Ltd,PCH,2022-09-14
16637,MTN GlobalConnect Solutions Limited,PCH,2022-09-14
31424,Nexellent AG,PCH,2022-09-14
31515,Inmarsat Solutions BV,PCH,2022-09-14
6663,Turk Telekom International AT AG,PCH,2022-09-14
6461,Zayo,PCH,2022-09-14
3209,Vodafone GmbH,PCH,2022-09-14
19551,Incapsula Inc.,PCH,2022-09-14
31133,"PJSC ""MegaFon""",PCH,2022-09-14
24875,NovoServe B.V.,PCH,2022-09-14
6667,Elisa Oyj,PCH,2022-09-14
15600,Quickline AG,PCH,2022-09-14
29263,Gemeente Den Haag,PCH,2022-09-14
13414,Twitter,PCH,2022-09-14
4455,IX Reach,PCH,2022-09-14
37282,MainOne,PCH,2022-09-14
9150,Interconnect Services BV,PCH,2022-09-14
12496,IDNet Ltd,PCH,2022-09-14
197219,2AT B.V.,PCH,2022-09-14
199275,IPSet SARL,PCH,2022-09-14
15435,DELTA Fiber Nederland B.V.,PCH,2022-09-14
34655,JWE S.à r.l.,PCH,2022-09-14
15133,Verizon Digital Media Services Inc,PCH,2022-09-14
39591,Global-e Datacenter BV,PCH,2022-09-14
49820,Picturae ICT,PCH,2022-09-14
29396,Eurofiber Nederland B.V.,PCH,2022-09-14
43190,Gelderland Internet Exchange,PCH,2022-09-14
56654,SC INFINITY TELECOM SRL,PCH,2022-09-14
25596,Cambrium BV,PCH,2022-09-14
5466,Eircom,PCH,2022-09-14
12306,Plusline AG,PCH,2022-09-14
49544,i3D.net,PCH,2022-09-14
41690,Dailymotion,PCH,2022-09-14
12414,Solcon Internetdiensten B.V.,PCH,2022-09-14
20940,Akamai,PCH,2022-09-14
16147,Nationale Politie,PCH,2022-09-14
15703,True B.V.,PCH,2022-09-14
29208,Quantcom a.s,PCH,2022-09-14
60159,EUROLINE UKRAINE LLC,PCH,2022-09-14
20326,Teraswitch Inc,PCH,2022-09-14
12713,OTE International Solutions S.A.,PCH,2022-09-14
9031,EDPnet NV,PCH,2022-09-14
43293,Stichting Proxility,PCH,2022-09-14
16298,InterBox Internet,PCH,2022-09-14
24167,ASGCNet,PCH,2022-09-14
20504,RTL Nederland B.V.,PCH,2022-09-14
39637,Ades B.V.,PCH,2022-09-14
20562,Open Peering,PCH,2022-09-14
12041,Afilias Ltd.,PCH,2022-09-14
2686,AT&amp; T Global Network Services Nederland B.V.,PCH,2022-09-14
64518,Telecom Italia Netherlands B.V.,PCH,2022-09-14
20847,Previder B.V.,PCH,2022-09-14
201119,Icewood,PCH,2022-09-14
30889,Waycom,PCH,2022-09-14
12956,Telefonica Global Solutions S.L.U.,PCH,2022-09-14
51088,A2B Internet,PCH,2022-09-14
13030,Init Seven,PCH,2022-09-14
13237,euNetworks GmbH,PCH,2022-09-14
16265,Leaseweb,PCH,2022-09-14
21478,Plex BV,PCH,2022-09-14
8657,"MEO - Serviços de Comunicações e Multimédia, S.A.",PCH,2022-09-14
3326,"PJSC ""DATAGROUP""",PCH,2022-09-14
24961,myLoc managed IT AG,PCH,2022-09-14
20640,Titan Networks,PCH,2022-09-14
12902,Luna.nl BV,PCH,2022-09-14
12731,IPHH Internet Port Hamburg GmbH,PCH,2022-09-14
43350,NFOrce Internet Services,PCH,2022-09-14
64597,Renesys Corp,PCH,2022-09-14
20932,SIG-Services Industriels de Geneve,PCH,2022-09-14
8220,COLT Telecom B.V.,PCH,2022-09-14
28788,Unilogic Networks B.V.,PCH,2022-09-14
17534,"NSK Co.,Ltd.",PCH,2022-09-14
29535,Orange Polska S.A.,PCH,2022-09-14
6762,Ripe NCC,PCH,2022-09-14
9121,Turk Telekom A.S.,PCH,2022-09-14
2484,AFNIC,PCH,2022-09-14
25182,NPO,PCH,2022-09-14
20857,Transip B.V.,PCH,2022-09-14
47886,Virtu Secure Webservices BV,PCH,2022-09-14
15169,Google,PCH,2022-09-14
42,Packet Clearing House,PCH,2022-09-14
12322,Free SAS,PCH,2022-09-14
1126,Vancis B.V.,PCH,2022-09-14
17557,Pakistan Telecommunication Company Limited,PCH,2022-09-14
6777,AMSTERDAM INET EXCH B.V.,PCH,2022-09-14
197731,Tuxis Internet Engineering,PCH,2022-09-14
200596,Adyen B.V.,PCH,2022-09-14
35000,Prometey LLC,PCH,2022-09-14
203101,Navarino S.A.,PCH,2022-09-14
30103,Zoom Video,PCH,2022-09-14
202053,UpCloud Ltd,PCH,2022-09-14
35280,F5 Networks SARL,PCH,2022-09-14
203936,Mismenet Telecomunicaciones SL,PCH,2022-09-14
12779,IT.Gate S.p.A.,PCH,2022-09-14
8075,Microsoft ,PCH,2022-09-14
8763,DENIC EG,PCH,2022-09-14
12350,VTX Services SA,PCH,2022-09-14
42708, GleSYS AB,PCH,2022-09-14
34224,Neterra Ltd.,PCH,2022-09-14
34288,Kantonsschule Zug,PCH,2022-09-14
44814,Bulgartel EAD,PCH,2022-09-14
13285,TalkTalk Communications Ltd.,PCH,2022-09-14
31383,Computel Standby B.V.,PCH,2022-09-14
3491,PCCW Global B.V.,PCH,2022-09-14
51167,Contabo GmbH,PCH,2022-09-14
48173,The unbelievable Machine Company GmbH,PCH,2022-09-14
24586,Intermax B.V.,PCH,2022-09-14
25148,Basefarm AS,PCH,2022-09-14
39832,Opera Software AS,PCH,2022-09-14
8551,Bezeq International LTD.,PCH,2022-09-14
8218,Neotelecoms SAS,PCH,2022-09-14
35709,MINISTERIE VAN VEILIGHEID EN JUSTITIE,PCH,2022-09-14
24940,Hetzner Online AG,PCH,2022-09-14
3252,Fiberax Networking&Cloud LTD,PCH,2022-09-14
37009,Mobile Telecommunications Ltd,PCH,2022-09-14
12759,SOCO Network Solutions GmbH,PCH,2022-09-14
3561,SAVVIS Communications Corporation,PCH,2022-09-14
8262,Evolink AD,PCH,2022-09-14
8422,NetCologne GmbH,PCH,2022-09-14
25542,Denit Internet Services,PCH,2022-09-14
25459,Dataplace Nedzone B.V.,PCH,2022-09-14
62041,Telegram Messenger,PCH,2022-09-14
8587,Infracom Internet B.V.,PCH,2022-09-14
39647,Redhosting B.V. & Voiceworks B.V.,PCH,2022-09-14
21263,TeleData GmbH,PCH,2022-09-14
3267,State Institute of ITT,PCH,2022-09-14
30925,DELTA Fiber Nederland,PCH,2022-09-14
6735,sdt.net AG,PCH,2022-09-14
34968,iunxi B.V.,PCH,2022-09-14
29017,Gyron Internet Ltd.,PCH,2022-09-14
8966,Emirates Telecommunications Corporation (Etisalat),PCH,2022-09-14
4788,Telekom Malaysia Berhad,PCH,2022-09-14
2603,Netnod,PCH,2022-09-14
54183,P39 Tech LLC,PCH,2022-09-14
8767,Mnet Telekommunikations GmbH,PCH,2022-09-14
23764,China Telecom Global Limited,PCH,2022-09-14
31595,Redraw Internet / Datacentres Ltd,PCH,2022-09-14
8368,DESTINY NV,PCH,2022-09-14
31477,Duocast,PCH,2022-09-14
12399,ScanPlus Gmbh,PCH,2022-09-14
50295,Triple-IT,PCH,2022-09-14
196844,Institute of Bioorganic Chemistry PAS,PCH,2022-09-14
5524,Breedband Nederland,PCH,2022-09-14
2852,"CESNET, z.s.p.o.",PCH,2022-09-14
39326,HighSpeed Office Limited,PCH,2022-09-14
50072,SBS Broadcasting B.V.,PCH,2022-09-14
8881,Versatel AG,PCH,2022-09-14
10310,Yahoo! Europe Ltd,PCH,2022-09-14
34309,Link11 GmbH,PCH,2022-09-14
41552,Marktplaats B.V.,PCH,2022-09-14
62715,Code42,PCH,2022-09-14
16097,HL komm Telekommunikations GmbH,PCH,2022-09-14
32934,Facebook,PCH,2022-09-14
50010,Ooredoo Oman,PCH,2022-09-14
211070,iSea NV,PCH,2022-09-14
13101,TNG Stadtnetz GmbH,PCH,2022-09-14
8781,Ooredoo Q.P.S.C.,PCH,2022-09-14
12389,Rostelecom,PCH,2022-09-14
31216,BSO,PCH,2022-09-14
57724,DDoS-Guard LTD,PCH,2022-09-14
9115,Hostopia,PCH,2022-09-14
33891,AS33891 Netzbetrieb GmbH,PCH,2022-09-14
4766,Korea Telecom Corp.,PCH,2022-09-14
39704,CJ2 Hosting,PCH,2022-09-14
197000,Ripe NCC,PCH,2022-09-14
22822,Limelight Networks,PCH,2022-09-14
25455,Guardfox SRL,PCH,2022-09-14
34141,IN2IP B.V.,PCH,2022-09-14
12732,Carrier 51 uG,PCH,2022-09-14
28917,TRC FIORD LLC,PCH,2022-09-14
33915,Vodafone Libertel B.V.,PCH,2022-09-14
6908,Six Degrees Technology Group Ltd.,PCH,2022-09-14
15557,SFR,PCH,2022-09-14
49685,Signet BV,PCH,2022-09-14
1101,Hurricane Electric,PCH,2022-09-14
44788,Criteo,PCH,2022-09-14
3216,VimpelCom PJSC,PCH,2022-09-14
29802,"Hivelocity, Inc.",PCH,2022-09-14
25151,CYSO,PCH,2022-09-14
31500,Global Network Management Ltd,PCH,2022-09-14
31529,DENIC eG,PCH,2022-09-14
31122,Viatel,PCH,2022-09-14
6453,TATA Communications,PCH,2022-09-14
8764,"TEO LT, AB",PCH,2022-09-14
209181,Zenex 5ive Limited,PCH,2022-09-14
14907,Wikimedia Foundation Inc,PCH,2022-09-14
13122,MANX Telecom Ltd.,PCH,2022-09-14
9050,ROMTELECOM S.A.,PCH,2022-09-14
199995,"Omega Telecom, LLC",PCH,2022-09-14
59865,iVent Mobile,PCH,2022-09-14
29791,Internap Network Services Corp.,PCH,2022-09-14
8359,MTS PJSC,PCH,2022-09-14
58138,Korton Computer Communication B.V.,PCH,2022-09-14
2119,Telenor Norge AS,PCH,2022-09-14
201971,CreeperHost,PCH,2022-09-14
16347,Adista,PCH,2022-09-14
208844,VTech Electronics Europe BV,PCH,2022-09-14
41095,IPTP Networks ,PCH,2022-09-14
47869,ColoHouse,PCH,2022-09-14
38915,Gemeente Heerlen,PCH,2022-09-14
207063,Kentik Technologies Inc.,PCH,2022-09-14
8447,Telekom Austria,PCH,2022-09-14
211656,Kuehne + Nagel AG &amp; Co. KG,PCH,2022-09-14
3320,Deutsche Telekom AG,PCH,2022-09-14
42385,"JSC ""MSK-IX""",PCH,2022-09-14
5713,Telkom SA,PCH,2022-09-14
1239,SprintLink Netherlands B.V.,PCH,2022-09-14
9002,RETN,PCH,2022-09-14
8365,"TU Darmstadt, Hochschulrechenzentrum",PCH,2022-09-14
29990,AppNexus Inc.,PCH,2022-09-14
41692,OpenCarrier eG,PCH,2022-09-14
23393,ISPrime LLC,PCH,2022-09-14
202425,IP Volume Inc.,PCH,2022-09-14
20634,Telecom Liechtenstein AG,PCH,2022-09-14
20969,Red Bee Media B.V.,PCH,2022-09-14
34772,Neotel DOO Skopje,PCH,2022-09-14
16276,OVH,PCH,2022-09-14
7342,VeriSign Inc.,PCH,2022-09-14
12552,IP-Only Networks ,PCH,2022-09-14
1267,Wind Tre S.P.A.,PCH,2022-09-14
50384,LLC iHome,PCH,2022-09-14
1248,HERE Global BV,PCH,2022-09-14
30781,Jaguar Network,PCH,2022-09-14
3327,Linxtelecom ,PCH,2022-09-14
12874,FASTWEB S.p.A.,PCH,2022-09-14
29169,Gandi SAS,PCH,2022-09-14
25133,LLC McLaut LTD,PCH,2022-09-14
3856,Packet Clearing House,PCH,2022-09-14
31615,T-Mobile Netherlands BV,PCH,2022-09-14
48237,ETIHAD ETISALAT COMPANY (MOBILY),PCH,2022-09-14
3214,xTom LLC,PCH,2022-09-14
132203,Tencent,PCH,2022-09-14
59900,Balkan Internet Exchange Ltd ,PCH,2022-09-14
42184,tkrz Stadtwerke GmbH,PCH,2022-09-14
39923,Unix-Solutions ,PCH,2022-09-14
59947,LLHost Inc SRL,PCH,2022-09-14
13002,MTX hub (MTX services Sarl),PCH,2022-09-14
15966,Emango Internet Services BV,PCH,2022-09-14
12578,Lattelecom SIA,PCH,2022-09-14
15958,CETIN Ltd. Belgrade,PCH,2022-09-14
4651,CAT Telecom Public Company Limited,PCH,2022-09-14
29140,Hostserver GmbH,PCH,2022-09-14
40999,dus.net GmbH,PCH,2022-09-14
50618,Liazo,PCH,2022-09-14
24904,Kwaoo.com,PCH,2022-09-14
39180,Lasotel,PCH,2022-09-14
6834,KMD A/S,PCH,2022-09-14
39120,Convergenze s.p.a.SB,PCH,2022-09-14
5394,Unidata s.p.a.,PCH,2022-09-14
9304,HGC Global Communications Limited,PCH,2022-09-14
21859,Zenlayer Inc,PCH,2022-09-14
50673,Serverius B.V.,PCH,2022-09-14
9036,Neuronnexion,PCH,2022-09-14
49981,WorldStream B.V.,PCH,2022-09-14
34177,CELESTE,PCH,2022-09-14
198792,DSTORAGE,PCH,2022-09-14
3223,Voxility,PCH,2022-09-14
34863,HEXANET,PCH,2022-09-14
45352,Extreme Broadband Sdn. Bhd.,PCH,2022-09-14
25180,Exponential-e,PCH,2022-09-14
25220,equada GmbH,PCH,2022-09-14
51050,H4Hosting BV,PCH,2022-09-14
31078,Netsign GmbH ,PCH,2022-09-14
43898,Oracle,PCH,2022-09-14
8717,A1 Bulgaria EAD,PCH,2022-09-14
31449,Belcenter ISP,PCH,2022-09-14
54312,Zeta,PCH,2022-09-14
59605,Zain Group,PCH,2022-09-14
31490,NetIX Communications Ltd.,PCH,2022-09-14
31673,Uniserver Internet BV,PCH,2022-09-14
36351,Softlayer,PCH,2022-09-14
199408,Bol.com BV,PCH,2022-09-14
1680,Cellcom Fixed Lines Communication LP,PCH,2022-09-14
25160,Vorboss Limited,PCH,2022-09-14
31042,Serbia Broadband,PCH,2022-09-14
8315,Sentia Netherlands B.V.,PCH,2022-09-14
44608,United4all,PCH,2022-09-14
8400,Telekom Srbija a.d.,PCH,2022-09-14
34756,Infostrada,PCH,2022-09-14
55799,Ondrea Systems SDN BHD,PCH,2022-09-14
50763,MCKAYCOM LTD,PCH,2022-09-14
51752,"Wachttoren-, Bijbel-, en Traktaatgenootschap",PCH,2022-09-14
57112,F2X Operator B.V.,PCH,2022-09-14
