ASN,ORGANIZATION,SOURCE,ASOF_DATE
35236,2 connect,PeeringDB,2021-12-31
35237,Sberbank,PeeringDB,2021-12-31
35543,Tobando,PeeringDB,2021-12-31
35548,smartTERRA GmbH,PeeringDB,2021-12-31
35549,Metronet telekomunikacije d.d.,PeeringDB,2021-12-31
48027,SITROX,PeeringDB,2021-12-31
28999,Siportal Srl,PeeringDB,2021-12-31
262299,INEXA - Flavio Jose Penso Junior - ME,PeeringDB,2021-12-31
262299,Inexa Tecnologia,PeeringDB,2021-12-31
55293,"A2 Hosting, Inc.",PeeringDB,2021-12-31
132649,Adau Putra Network (ADAUNet),PeeringDB,2021-12-31
132649,ADAUNet,PeeringDB,2021-12-31
51269,Hexatom,PeeringDB,2021-12-31
51265,Mass Response / spusu,PeeringDB,2021-12-31
51265,spusu,PeeringDB,2021-12-31
51263,County Broadband Ltd,PeeringDB,2021-12-31
51263,County Broadband Fibre,PeeringDB,2021-12-31
51262,Internet Group AG Backbone,PeeringDB,2021-12-31
51262,AS-INTERNETGROUP,PeeringDB,2021-12-31
132645,Politeknik Perkapalan Negeri Surabaya,PeeringDB,2021-12-31
132645,PPNS,PeeringDB,2021-12-31
32233,Eastlink (Western),PeeringDB,2021-12-31
32233,Bragg Communications (Western),PeeringDB,2021-12-31
25061,Associated Networks (UK) Ltd,PeeringDB,2021-12-31
25061,ANLX,PeeringDB,2021-12-31
61948,INFOMAC TELECOMUNICAÇÕES LTDA,PeeringDB,2021-12-31
61948,Infomac Telecom,PeeringDB,2021-12-31
25068,KonicaMinolta Business Solutions Europe GmbH,PeeringDB,2021-12-31
266042,GEIZA TEIXEIRA MARTINS,PeeringDB,2021-12-31
266042,GETI BANDA LARGA,PeeringDB,2021-12-31
262749,Andries & Cia Ltda,PeeringDB,2021-12-31
262749,Leopoldina NET,PeeringDB,2021-12-31
262748,NetJat Provedor de Acesso a Internet,PeeringDB,2021-12-31
262748,Netjat,PeeringDB,2021-12-31
205112,PHILUNET GmbH,PeeringDB,2021-12-31
205112,PHILUNET,PeeringDB,2021-12-31
268309,Ti5 Telecom LTDA,PeeringDB,2021-12-31
268309,Ti5,PeeringDB,2021-12-31
131111,Mora Telematika Indonesia - Domestic,PeeringDB,2021-12-31
131111,[Moratelindo],PeeringDB,2021-12-31
6798,Net4You Internet,PeeringDB,2021-12-31
6798,AS6798,PeeringDB,2021-12-31
46130,Positive Internet USA,PeeringDB,2021-12-31
