CITY_NAME,STATE_PROVINCE,COUNTRY_CODE,CITY_LATITUDE,CITY_LONGITUDE
Apia,,WS,-13.8415450424,-171.738641609
Neiafu,,TO,-18.6495735486,-173.983292686
Nukualofa,,TO,-21.1385123567,-175.220564478
Avarua,,CK,-21.2500349744,-159.750001263
Papeete,,PF,-17.5333626111,-149.566669354
Alofi,Niue aggregation,NZ,-19.0659876723,-169.913625428
Pago Pago,,AS,-14.2766104952,-170.706645144
Waitangi,Chatham Is. aggregation,NZ,-44.0262533597,-176.369578721
Santa Cruz,Gal,EC,-0.53331500357,-90.3499996356
Jinotepe,Carazo,NI,11.845998134,-86.1949974822
León,León,NI,12.4355574737,-86.8794362811
Chinandega,Chinandega,NI,12.6303776234,-87.1300411395
Puerto Villamil,Gal,EC,-0.93334226594,-91.0166514503
Choluteca,Choluteca,HN,13.3006726267,-87.1908126238
San Miguel,San Miguel,SV,13.4833488148,-88.1833360206
Retalhuleu,Retalhuleu,GT,14.5370970406,-91.6770145424
San Vicente,San Vicente,SV,13.641003026,-88.7849996083
Somoto,Madriz,NI,13.4759971182,-86.5829965925
Yuscarán,El Paraíso,HN,13.9439969867,-86.850998537
San Jose,Escuintla,GT,13.9397295833,-90.820032034
Atafu,Tokelau aggregation,NZ,-8.54861815564,-172.497665428
Escuintla,Escuintla,GT,14.3004048858,-90.7799992287
Antigua Guatemala,Sacatepéquez,GT,14.5666980957,-90.7333016119
Chimaltenango,Chimaltenango,GT,14.6619991421,-90.819998501
Sololá,Sololá,GT,14.7729959827,-91.1829955126
Cuilapa,Santa Rosa,GT,14.2790040922,-90.2979985012
Ahuachapán,Ahuachapán,SV,13.9190039897,-89.8450015467
Sonsonate,Sonsonate,SV,13.7199751983,-89.7299858009
Nueva San Salvador,La Libertad,SV,13.6739969925,-89.2899984788
Usulután,Usulután,SV,13.3460010987,-88.4320016158
San Salvador,San Salvador,SV,13.7100016469,-89.2030412208
Sensuntepeque,Cabañas,SV,13.8800429473,-88.6300012632
Gracias,Lempira,HN,14.583303057,-88.5833005122
Chiquimula,Chiquimula,GT,14.7969990565,-89.5439965341
Santa Ana,Santa Ana,SV,13.9946095977,-89.559763633
Jutiapa,Jutiapa,GT,14.2899920847,-89.9000012632
Nueva Ocotepeque,Ocotepeque,HN,14.4369991194,-89.1819985474
Zacatecoluca,La Paz,SV,13.5080009959,-88.8679976066
Cojutepeque,Cuscatlán,SV,13.7167020366,-88.9333015956
La Paz,La Paz,HN,14.3199990281,-87.6840025685
Chalatenango,Chalatenango,SV,14.0720040581,-89.0939964887
Nacaome,Valle,HN,13.529986795,-87.4899674904
La Unión,La Unión,SV,13.331997044,-87.8390005211
San Francisco Gotera,Morazán,SV,13.699998116,-88.100000521
Comayagua,Comayagua,HN,14.4603951202,-87.649983563
Pacasmayo,La Libertad,PE,-7.40064776727,-79.5706059181
Chiclayo,Lambayeque,PE,-6.76290891635,-79.8365845151
Motupe,Lambayeque,PE,-6.15002642937,-79.7100030942
Paita,Piura,PE,-5.08998777377,-81.1200203875
Pimentel,Lambayeque,PE,-6.82962319044,-79.9299896664
Sechura,Piura,PE,-5.55962319044,-80.8199870216
Piura,Piura,PE,-5.21003212598,-80.6299727801
Piñas,El Oro,EC,-3.67002276725,-79.6499809181
Babahoyo,Los Rios,EC,-1.79959430045,-79.5400134702
Talara,Piura,PE,-4.57999306348,-81.2799847836
Chulucanas,Piura,PE,-5.08957436231,-80.1700008562
Tumbes,Tumbes,PE,-3.57002887077,-80.459983156
Sullana,Piura,PE,-4.88958656934,-80.6799955665
Jaén,Cajamarca,PE,-5.70958819695,-78.8099805112
Esmeraldas,Esmeraldas,EC,0.9304199411,-79.6699796974
Portoviejo,Manabi,EC,-1.06000120149,-80.459983156
Machala,El Oro,EC,-3.26002195345,-79.9599878354
Jipijapa,Manabi,EC,-1.34959592805,-80.58000167
Chone,Manabi,EC,-0.68958453482,-80.090005739
Penonome,Coclé,PA,8.50998313286,-80.3599892595
Manta,Manabi,EC,-0.9800060843,-80.7299666765
Chitré,Herrera,PA,7.97001609185,-80.4200372739
Puerto Armuelles,Chiriquí,PA,8.28002300916,-82.8700169288
Milagro,Guayas,EC,-2.17962278352,-79.5999839698
Balboa,Panama,PA,8.94998211561,-79.566652671
La Cruz,Guanacaste,CR,11.0704211618,-85.6300035011
Salinas,Guayas,EC,-2.20003497428,-80.9800030942
Rivas,Nicaragua,NI,11.4403727406,-85.8199919044
San Juan del Sur,Nicaragua,NI,11.2499967641,-85.8600411395
Liberia,Guanacaste,CR,10.633755309,-85.4333229998
San Carlos,Nicaragua,NI,11.1999960984,-84.8332974857
Masaya,Masaya,NI,11.9690009795,-86.0949985202
Granada‎,Granada,NI,11.9337276397,-85.9499839699
Bluefields,Atlántico Sur,NI,11.9999768259,-83.7649493833
Jinotega,Jinotega,NI,13.0910040186,-86.0000036185
Managua,Managua,NI,12.1530165801,-86.2684916603
Matagalpa,Matagalpa,NI,12.9170784698,-85.916652671
Estelí,Estelí,NI,13.0899878122,-86.3599847837
Ocotal,Nueva Segovia,NI,13.6299960459,-86.4729986113
Puerto Baquerizo Moreno,Galápagos,EC,-0.90001096711,-89.5999678973
Quesada,Alajuela,CR,10.3304921661,-84.4399727801
San José,San José,CR,9.93501242974,-84.0840513527
Heredia,Heredia,CR,9.99199798645,-84.120002513
San Juan de Nicaragua,Nicaragua,NI,10.9204044789,-83.6999921079
Puntarenas,Puntarenas,CR,9.97016409789,-84.8335895369
Alajuela,Alajuela,CR,10.0200201609,-84.2300372739
Cañas,Guanacaste,CR,10.4299951365,-85.1000100115
Boaco,Boaco,NI,12.4699739776,-85.6600016701
Golfito,Puntarenas,CR,8.65002626437,-83.1499740008
Ciudad Cortés,Puntarenas,CR,8.9603690785,-83.5300024838
