CITY_NAME,STATE_PROVINCE,COUNTRY_CODE,POLYGON_WKT
Apia,,WS,"POLYGON ((-169.87993740899998 -10.87411375299996, -172.26224925799997 -16.525073601999964, -180.96238340399998 -12.463374414999976, -169.87993740899998 -10.87411375299996))"
Neiafu,,TO,"POLYGON ((-193.15799894699998 -10.669668950999949, -180.96238340399998 -12.463374414999976, -172.26224925799997 -16.525073601999964, -171.74911473999998 -16.90956369199995, -172.17779403599997 -21.099100017999945, -193.15799894699998 -10.669668950999949))"
Nukualofa,,TO,"POLYGON ((-197.51889947699996 -9.726508370999966, -193.15799894699998 -10.669668950999949, -172.17779403599997 -21.099100017999945, -169.68087318899998 -27.492754502999958, -197.51889947699996 -18.202494419999937, -197.51889947699996 -9.726508370999966))"
Avarua,,CK,"POLYGON ((-158.88832677099998 -7.801920939999945, -143.20416597499997 -50.77504299799995, -164.41807173299998 -35.29546934999996, -166.88144093699998 -29.696103514999947, -163.85279994499996 -15.602100719999953, -158.88832677099998 -7.801920939999945))"
Papeete,,PF,"POLYGON ((-131.28956465099998 4.204301882000038, -123.75132222999997 -3.1914841389999538, -121.06147957699994 -6.518119229999968, -113.28977588999999 -33.929735637999954, -114.37228634899998 -38.02317179299996, -116.09485034699998 -43.38387506799995, -119.53417167899994 -53.77408236699995, -125.94857849999994 -68.23255458299997, -143.20416597499997 -50.77504299799995, -158.88832677099998 -7.801920939999945, -158.82930738399997 -7.418818886999929, -155.70800383599996 0.547417633000066, -154.30344244799997 0.7903235690000656, -131.28956465099998 4.204301882000038))"
Alofi,Niue aggregation,NZ,"POLYGON ((-163.85279994499996 -15.602100719999953, -166.88144093699998 -29.696103514999947, -169.68087318899998 -27.492754502999958, -172.17779403599997 -21.099100017999945, -171.74911473999998 -16.90956369199995, -163.85279994499996 -15.602100719999953))"
Pago Pago,,AS,"POLYGON ((-158.82930738399997 -7.418818886999929, -158.88832677099998 -7.801920939999945, -163.85279994499996 -15.602100719999953, -171.74911473999998 -16.90956369199995, -172.26224925799997 -16.525073601999964, -169.87993740899998 -10.87411375299996, -158.82930738399997 -7.418818886999929))"
Waitangi,Chatham Is. aggregation,NZ,"POLYGON ((-164.41807173299998 -35.29546934999996, -143.20416597499997 -50.77504299799995, -125.94857849999994 -68.23255458299997, -126.46381946499997 -75.18932621299996, -131.55384813299997 -98.59671907099994, -197.51889947699996 -98.59671907099994, -197.51889947699996 -38.782164929999965, -164.41807173299998 -35.29546934999996))"
Santa Cruz,Gal,EC,"POLYGON ((-91.71917316799994 6.666373941000074, -91.54518302399998 6.658805422000057, -89.94437667199998 5.953996822000022, -87.78160963199997 4.818115099000067, -87.40223389699997 4.545582181000043, -90.29749530299995 -1.3763208849999273, -95.05847364699997 6.557925480000051, -91.71917316799994 6.666373941000074))"
Jinotepe,Carazo,NI,"POLYGON ((-86.25216008699994 11.994620284000064, -86.05162530799998 11.83158934200003, -85.98996747699994 11.659389561000069, -86.23903296199995 11.429125509000073, -88.00523162999997 10.436511272000075, -86.76986180299997 11.870692675000043, -86.25216008699994 11.994620284000064))"
León,León,NI,"POLYGON ((-86.74733598899996 12.864074845000061, -86.42776491899997 12.61041657000004, -86.76986180299997 11.870692675000043, -88.00523162999997 10.436511272000075, -89.90320998699997 8.804549368000039, -86.74733598899996 12.864074845000061))"
Chinandega,Chinandega,NI,"POLYGON ((-86.82598451299998 12.995846937000067, -86.74733598899996 12.864074845000061, -89.90320998699997 8.804549368000039, -90.26200308599994 8.474446821000072, -88.16007139899995 12.298569524000072, -87.53349441999995 12.931701409000027, -86.82598451299998 12.995846937000067))"
Puerto Villamil,Gal,EC,"POLYGON ((-96.26327172899994 6.573852701000021, -95.05847364699997 6.557925480000051, -90.29749530299995 -1.3763208849999273, -90.03976957799995 -12.33046331199995, -90.46357159999997 -13.264554231999966, -90.93775053999997 -14.15614362599996, -91.71083018099995 -15.524364868999953, -94.23188686599997 -19.07203521499997, -95.50499014199994 -20.747961500999963, -99.34807887799997 -25.538305236999975, -101.96258587399996 -28.566162865999956, -113.28977588999999 -33.929735637999954, -121.06147957699994 -6.518119229999968, -113.54734905899994 -1.5145344199999613, -109.75033696199995 0.733141655000054, -108.35494641399998 1.5084563150000463, -102.66159163099996 4.357586394000066, -98.95083573099998 5.694326684000032, -96.26327172899994 6.573852701000021))"
Choluteca,Choluteca,HN,"POLYGON ((-87.13536707999998 13.682795179000038, -86.94244773699995 13.580892135000056, -86.80151984699995 13.092322452000076, -86.82598451299998 12.995846937000067, -87.53349441999995 12.931701409000027, -87.52154324599996 13.179003894000061, -87.13536707999998 13.682795179000038))"
San Miguel,San Miguel,SV,"POLYGON ((-88.39878341299999 13.690574403000028, -87.96086120399997 13.522124904000066, -88.14084651999997 13.11264615500005, -88.43656306299994 13.648035693000054, -88.39878341299999 13.690574403000028))"
Retalhuleu,Retalhuleu,GT,"POLYGON ((-91.72995884999995 14.75400017800007, -91.58769391299995 14.677729303000035, -91.62730038599994 13.695020224000075, -95.98987761699999 7.436473116000059, -95.68805872099995 8.64875187000007, -91.99901196099995 14.676851240000076, -91.72995884999995 14.75400017800007))"
San Vicente,San Vicente,SV,"POLYGON ((-88.79011817499998 13.81409400900003, -88.49856799399998 13.62504694300003, -88.63873109399998 13.45732840200003, -88.89165934499994 13.615164630000038, -88.79011817499998 13.81409400900003))"
Somoto,Madriz,NI,"POLYGON ((-86.73409407299994 13.700206670000057, -86.29375080499995 13.385679348000053, -86.80151984699995 13.092322452000076, -86.94244773699995 13.580892135000056, -86.73409407299994 13.700206670000057))"
Yuscarán,El Paraíso,HN,"POLYGON ((-86.81173052999998 14.539100826000038, -86.35885636299997 14.151924510000072, -86.73409407299994 13.700206670000057, -86.94244773699995 13.580892135000056, -87.13536707999998 13.682795179000038, -87.16274750299993 13.725053173000049, -86.81173052999998 14.539100826000038))"
San Jose,Escuintla,GT,"POLYGON ((-91.22322372399998 14.167040806000045, -90.54777382499998 14.09206990000007, -90.33598520999999 13.766195848000052, -90.34165960199994 13.49924543700007, -91.71917316799994 6.666373941000074, -95.05847364699997 6.557925480000051, -96.26327172899994 6.573852701000021, -95.98987761699999 7.436473116000059, -91.62730038599994 13.695020224000075, -91.22322372399998 14.167040806000045))"
Atafu,Tokelau aggregation,NZ,"POLYGON ((-197.51889947699996 20.296467650000068, -167.10819068999996 7.221154762000026, -155.70800383599996 0.547417633000066, -158.82930738399997 -7.418818886999929, -169.87993740899998 -10.87411375299996, -180.96238340399998 -12.463374414999976, -193.15799894699998 -10.669668950999949, -197.51889947699996 -9.726508370999966, -197.51889947699996 20.296467650000068))"
Escuintla,Escuintla,GT,"POLYGON ((-90.94003924299994 14.465710858000023, -90.57963581999996 14.402509918000021, -90.53553509399995 14.367717490000075, -90.54777382499998 14.09206990000007, -91.22322372399998 14.167040806000045, -91.15278638899997 14.390635817000032, -91.08333506299994 14.449859587000049, -90.94003924299994 14.465710858000023))"
Antigua Guatemala,Sacatepéquez,GT,"POLYGON ((-90.66283934299997 14.717884049000077, -90.57963581999996 14.402509918000021, -90.94003924299994 14.465710858000023, -90.66283934299997 14.717884049000077))"
Chimaltenango,Chimaltenango,GT,"POLYGON ((-90.72309159099996 15.061597187000075, -90.62982988199997 14.95458983900005, -90.66283934299997 14.717884049000077, -90.94003924299994 14.465710858000023, -91.08333506299994 14.449859587000049, -90.95650051299998 14.864651237000032, -90.72309159099996 15.061597187000075))"
Sololá,Sololá,GT,"POLYGON ((-91.21386498199996 14.913787313000057, -90.95650051299998 14.864651237000032, -91.08333506299994 14.449859587000049, -91.15278638899997 14.390635817000032, -91.37119263199997 14.684974020000027, -91.36401703099995 14.727426928000057, -91.21386498199996 14.913787313000057))"
Cuilapa,Santa Rosa,GT,"POLYGON ((-90.25638369599994 14.55453645600005, -90.10275286299998 14.420435190000035, -90.09312738599994 14.071789801000023, -90.33598520999999 13.766195848000052, -90.54777382499998 14.09206990000007, -90.53553509399995 14.367717490000075, -90.25638369599994 14.55453645600005))"
Ahuachapán,Ahuachapán,SV,"POLYGON ((-89.74648191199998 14.12318067600006, -89.68212494299996 13.880380599000034, -90.34165960199994 13.49924543700007, -90.33598520999999 13.766195848000052, -90.09312738599994 14.071789801000023, -89.74648191199998 14.12318067600006))"
Sonsonate,Sonsonate,SV,"POLYGON ((-89.68212494299996 13.880380599000034, -89.50246421199995 13.769024414000057, -89.68099461299994 12.06058209400004, -90.69333776199994 7.943912074000025, -91.26131706199999 7.054006142000048, -91.54518302399998 6.658805422000057, -91.71917316799994 6.666373941000074, -90.34165960199994 13.49924543700007, -89.68212494299996 13.880380599000034))"
Nueva San Salvador,La Libertad,SV,"POLYGON ((-89.33630076299994 13.908835226000065, -89.14023834799997 13.435311733000049, -89.68099461299994 12.06058209400004, -89.50246421199995 13.769024414000057, -89.33630076299994 13.908835226000065))"
Usulután,Usulután,SV,"POLYGON ((-88.43656306299994 13.648035693000054, -88.14084651999997 13.11264615500005, -88.16007139899995 12.298569524000072, -90.26200308599994 8.474446821000072, -90.68140542499998 7.959807505000072, -88.63873109399998 13.45732840200003, -88.49856799399998 13.62504694300003, -88.43656306299994 13.648035693000054))"
San Salvador,San Salvador,SV,"POLYGON ((-89.31138611299997 13.940062792000049, -89.07201183099994 13.867956907000064, -89.06438983899994 13.561116072000061, -89.14023834799997 13.435311733000049, -89.33630076299994 13.908835226000065, -89.31138611299997 13.940062792000049))"
Sensuntepeque,Cabañas,SV,"POLYGON ((-88.75223360599995 14.241340580000042, -88.51473938099997 14.225569519000032, -88.29380740299996 13.999593901000026, -88.39878341299999 13.690574403000028, -88.43656306299994 13.648035693000054, -88.49856799399998 13.62504694300003, -88.79011817499998 13.81409400900003, -88.86865717499995 13.959929518000024, -88.75223360599995 14.241340580000042))"
Gracias,Lempira,HN,"POLYGON ((-88.51120742499995 14.856219959000043, -88.27972220499998 14.616735224000024, -88.51473938099997 14.225569519000032, -88.75223360599995 14.241340580000042, -88.83786015699997 14.326866144000064, -88.87384966799999 14.474140712000064, -88.51120742499995 14.856219959000043))"
Chiquimula,Chiquimula,GT,"POLYGON ((-89.77125523999996 14.904614792000075, -89.15956506199996 14.852206730000034, -89.16068845299998 14.820431019000068, -89.55365136899997 14.425287104000063, -89.69676451099997 14.525776759000053, -89.78644644199994 14.769126850000077, -89.77125523999996 14.904614792000075))"
Santa Ana,Santa Ana,SV,"POLYGON ((-89.54039858499999 14.360558671000035, -89.35494344099999 14.202194887000076, -89.31138611299997 13.940062792000049, -89.33630076299994 13.908835226000065, -89.50246421199995 13.769024414000057, -89.68212494299996 13.880380599000034, -89.74648191199998 14.12318067600006, -89.54039858499999 14.360558671000035))"
Jutiapa,Jutiapa,GT,"POLYGON ((-89.69676451099997 14.525776759000053, -89.55365136899997 14.425287104000063, -89.54039858499999 14.360558671000035, -89.74648191199998 14.12318067600006, -90.09312738599994 14.071789801000023, -90.10275286299998 14.420435190000035, -89.69676451099997 14.525776759000053))"
Nueva Ocotepeque,Ocotepeque,HN,"POLYGON ((-89.16068845299998 14.820431019000068, -88.87384966799999 14.474140712000064, -88.83786015699997 14.326866144000064, -89.35494344099999 14.202194887000076, -89.54039858499999 14.360558671000035, -89.55365136899997 14.425287104000063, -89.16068845299998 14.820431019000068))"
Zacatecoluca,La Paz,SV,"POLYGON ((-88.89165934499994 13.615164630000038, -88.63873109399998 13.45732840200003, -90.68140542499998 7.959807505000072, -90.69333776199994 7.943912074000025, -89.68099461299994 12.06058209400004, -89.14023834799997 13.435311733000049, -89.06438983899994 13.561116072000061, -88.89165934499994 13.615164630000038))"
Cojutepeque,Cuscatlán,SV,"POLYGON ((-88.86865717499995 13.959929518000024, -88.79011817499998 13.81409400900003, -88.89165934499994 13.615164630000038, -89.06438983899994 13.561116072000061, -89.07201183099994 13.867956907000064, -88.86865717499995 13.959929518000024))"
La Paz,La Paz,HN,"POLYGON ((-87.92197035899994 14.451979946000051, -87.39755319599999 14.324909813000033, -87.58407580499994 13.925707447000036, -87.71752475299996 13.892931021000038, -87.93313482999997 14.037597503000029, -87.92197035899994 14.451979946000051))"
Chalatenango,Chalatenango,SV,"POLYGON ((-88.83786015699997 14.326866144000064, -88.75223360599995 14.241340580000042, -88.86865717499995 13.959929518000024, -89.07201183099994 13.867956907000064, -89.31138611299997 13.940062792000049, -89.35494344099999 14.202194887000076, -88.83786015699997 14.326866144000064))"
Nacaome,Valle,HN,"POLYGON ((-87.58407580499994 13.925707447000036, -87.16274750299993 13.725053173000049, -87.13536707999998 13.682795179000038, -87.52154324599996 13.179003894000061, -87.78637716099996 13.645875454000077, -87.71752475299996 13.892931021000038, -87.58407580499994 13.925707447000036))"
La Unión,La Unión,SV,"POLYGON ((-87.78637716099996 13.645875454000077, -87.52154324599996 13.179003894000061, -87.53349441999995 12.931701409000027, -88.16007139899995 12.298569524000072, -88.14084651999997 13.11264615500005, -87.96086120399997 13.522124904000066, -87.78637716099996 13.645875454000077))"
San Francisco Gotera,Morazán,SV,"POLYGON ((-87.93313482999997 14.037597503000029, -87.71752475299996 13.892931021000038, -87.78637716099996 13.645875454000077, -87.96086120399997 13.522124904000066, -88.39878341299999 13.690574403000028, -88.29380740299996 13.999593901000026, -87.93313482999997 14.037597503000029))"
Comayagua,Comayagua,HN,"POLYGON ((-87.75426057699997 14.930862399000034, -87.18075128999999 14.58654464700004, -87.39755319599999 14.324909813000033, -87.92197035899994 14.451979946000051, -87.97157339999995 14.653176822000034, -87.75426057699997 14.930862399000034))"
Pacasmayo,La Libertad,PE,"POLYGON ((-79.20425161199995 -6.873519567999949, -79.12695629599995 -6.957127482999965, -78.99590289499997 -7.501242290999926, -79.02008158399997 -7.549692249999964, -80.36190396599994 -8.576758435999977, -84.32496891899996 -11.384970863999968, -87.65142151299995 -13.378844734999973, -91.71083018099995 -15.524364868999953, -90.93775053999997 -14.15614362599996, -79.68492318299997 -7.073990887999969, -79.20425161199995 -6.873519567999949))"
Chiclayo,Lambayeque,PE,"POLYGON ((-79.98789906399998 -6.64980118699998, -79.20579390799998 -6.864940923999939, -79.20425161199995 -6.873519567999949, -79.68492318299997 -7.073990887999969, -79.98789906399998 -6.64980118699998))"
Motupe,Lambayeque,PE,"POLYGON ((-79.24911677499995 -5.952030112999978, -79.12538662299994 -6.2048690419999275, -79.23214477699997 -6.488077769999961, -80.47757894399996 -6.254491818999952, -80.46886248799996 -6.238104499999963, -79.24911677499995 -5.952030112999978))"
Paita,Piura,PE,"POLYGON ((-80.99919299699997 -4.772004696999943, -80.85822280699995 -5.081535681999981, -80.90813252299995 -5.285278183999935, -89.06715133599994 -10.49778515099996, -87.19884243599995 -6.7165801149999425, -80.99919299699997 -4.772004696999943))"
Pimentel,Lambayeque,PE,"POLYGON ((-80.52527615899999 -6.299942683999973, -79.98789906399998 -6.64980118699998, -79.68492318299997 -7.073990887999969, -90.93775053999997 -14.15614362599996, -90.46357159999997 -13.264554231999966, -80.52527615899999 -6.299942683999973))"
Sechura,Piura,PE,"POLYGON ((-80.90813252299995 -5.285278183999935, -80.27428640399995 -5.6297943979999445, -80.24564747199997 -5.669396474999928, -80.46886248799996 -6.238104499999963, -80.47757894399996 -6.254491818999952, -80.52527615899999 -6.299942683999973, -90.46357159999997 -13.264554231999966, -90.03976957799995 -12.33046331199995, -89.06715133599994 -10.49778515099996, -80.90813252299995 -5.285278183999935))"
Piura,Piura,PE,"POLYGON ((-80.43515983599997 -5.0154939209999725, -80.27428640399995 -5.6297943979999445, -80.90813252299995 -5.285278183999935, -80.85822280699995 -5.081535681999981, -80.43515983599997 -5.0154939209999725))"
Piñas,El Oro,EC,"POLYGON ((-79.43929526999995 -3.1885200979999695, -79.14445485199997 -3.437396197999931, -79.62535904099997 -4.098639455999944, -80.08982386199995 -3.9022626069999546, -80.05961454399994 -3.657551521999949, -79.43929526999995 -3.1885200979999695))"
Babahoyo,Los Rios,EC,"POLYGON ((-79.49616757699994 -1.0866082399999755, -79.18046607999997 -1.96909244699998, -79.22304584399996 -2.0443595369999343, -79.79095815299996 -1.9547399779999637, -80.10260675499995 -1.6730458019999332, -79.99427273699996 -1.4226757849999672, -79.87499952099995 -1.2743134709999708, -79.49616757699994 -1.0866082399999755))"
Talara,Piura,PE,"POLYGON ((-85.48470362999996 -2.841124868999941, -81.82093269599994 -3.3029246799999328, -80.70758258099994 -4.20686653599995, -80.99919299699997 -4.772004696999943, -87.19884243599995 -6.7165801149999425, -85.48470362999996 -2.841124868999941))"
Chulucanas,Piura,PE,"POLYGON ((-80.29629034999994 -4.661358789999952, -79.31805230299994 -4.964499373999956, -79.32430424199998 -5.036142724999934, -79.43957279299997 -5.288988010999958, -80.24564747199997 -5.669396474999928, -80.27428640399995 -5.6297943979999445, -80.43515983599997 -5.0154939209999725, -80.29629034999994 -4.661358789999952))"
Tumbes,Tumbes,PE,"POLYGON ((-80.57315065399996 -2.8292937089999555, -80.05961454399994 -3.657551521999949, -80.08982386199995 -3.9022626069999546, -80.60144258799994 -4.2245634629999245, -80.70758258099994 -4.20686653599995, -81.82093269599994 -3.3029246799999328, -80.57315065399996 -2.8292937089999555))"
Sullana,Piura,PE,"POLYGON ((-80.70758258099994 -4.20686653599995, -80.60144258799994 -4.2245634629999245, -80.29629034999994 -4.661358789999952, -80.43515983599997 -5.0154939209999725, -80.85822280699995 -5.081535681999981, -80.99919299699997 -4.772004696999943, -80.70758258099994 -4.20686653599995))"
Jaén,Cajamarca,PE,"POLYGON ((-79.32430424199998 -5.036142724999934, -78.22146648399996 -5.7553481719999695, -78.39300913299996 -6.065422205999937, -79.12538662299994 -6.2048690419999275, -79.24911677499995 -5.952030112999978, -79.43957279299997 -5.288988010999958, -79.32430424199998 -5.036142724999934))"
Esmeraldas,Esmeraldas,EC,"POLYGON ((-82.08967822899996 4.156526151000037, -79.66628063199994 1.787019803000021, -79.00395682499999 0.4405097290000413, -79.28261021799995 0.1558910280000418, -82.76140336299994 3.9558596460000217, -82.35494416499995 4.1328330900000765, -82.08967822899996 4.156526151000037))"
Portoviejo,Manabi,EC,"POLYGON ((-80.48870341499997 -0.6613373219999517, -79.87499952099995 -1.2743134709999708, -79.99427273699996 -1.4226757849999672, -80.63554017699994 -1.156911397999977, -80.48870341499997 -0.6613373219999517))"
Machala,El Oro,EC,"POLYGON ((-80.45964558199995 -2.7200688709999667, -79.69059700399998 -2.7496079789999612, -79.59152089999998 -2.782621499999948, -79.43929526999995 -3.1885200979999695, -80.05961454399994 -3.657551521999949, -80.57315065399996 -2.8292937089999555, -80.45964558199995 -2.7200688709999667))"
Jipijapa,Manabi,EC,"POLYGON ((-80.63554017699994 -1.156911397999977, -79.99427273699996 -1.4226757849999672, -80.10260675499995 -1.6730458019999332, -80.44478584299998 -1.9324835329999246, -81.41837942999996 -1.4745567439999263, -80.63554017699994 -1.156911397999977))"
