IP_ADDR,RDNS,ASN,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,SOURCE,ASOF_DATE
80.249.208.1,rtr-eun-01.ams-ix.net.,1200,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.2,,22697,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.3,rtr2-1.nawas.net.,200020,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.4,ams-ix.deac.net.,12993,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.6,,205943,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.7,,205943,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.8,,40805,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.11,ams-ix.as8758.net.,8758,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.12,te0-3-0-3-dzpr212-zh.datazug.net.,8821,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.25,,42739,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.26,ae0.ibrsa0105-01.ams3.bb.godaddy.com.,20773,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.27,ams-ix.nl.rt.ielo.net.,29075,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.28,,39244,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.29,ams-ix.ecritel.net.,8304,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.30,,8529,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.33,swiCE1-100GE-0-3-0-1.switch.ch.,559,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.34,et-6-1-0-0.asd002a-jnx-01.surf.net.,1103,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.35,amsix-501.xe-0-0-0.jun1.bit-2a.network.bit.nl.,12859,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.36,ae-6.r25.amstnl02.nl.bb.gin.ntt.net.,2914,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.39,ns1.nl-ams.as112.ripe.net.,112,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.40,,58453,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.42,bbrt25.ams.ewe-ip-backbone.de.,9145,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.43,amsix.brueve.belnet.net.,2611,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.44,te1.ncs-am5-ams.blix.com.,50304,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.45,ix.amsterdam01.mux.peering.usc.edu.,47065,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.48,ams-ix.sara.xs4all.net.,3265,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.49,gi1-0-260.arn1-rtr.as1140.nl.,1140,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.50,et-6-1-0-0.asd001b-jnx-01.surf.net.,1103,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.51,xr01.amsterdam.rdsnet.ro.,8708,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.55,ae4-br1-adt6.euro.net.,5390,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.58,,8918,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.60,,6661,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.61,,15224,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.63,po-1-0-0.bb1.ams1.nl.m247.com.,9009,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.65,,5410,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.66,bams316-fa-0-1-0.nl.equant.net.,5583,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.68,gw.amsix.eqix3rtr.ripe.net.,1273,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.69,rrc03.ripe.net.,12654,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.70,ae4-br1-adt7.euro.net.,5390,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.71,gw.amsix.telrtr.ripe.net.,1257,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.72,gw1-ams-ix.flagtel.com.,15412,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.75,,13445,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.76,te0-0-1.amsix1.as12355.net.,12355,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.77,0.ae1.BR2.AMS3.ALTER.net.,702,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.79,amsix.globalswitch.netholding.nl.,24730,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.82,eth4-ixsp-mse1.router.nl.clara.net.,8426,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.83,,57976,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.86,,50923,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.87,,6774,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.88,peer1.rtr1.ams.opendns.com.,36692,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
80.249.208.90,ams-nik-pr001.nl.qinip.net.,8608,Amsterdam,Noord-Holland,NL,PCH,2022-09-14
