IP_ADDR,RDNS,ASN,RDNS_GEOGRAPHY
185.28.220.70,,43996,
210.57.81.12,unknown.telstraglobal.net.,4637,
202.84.153.25,,4637,
202.84.140.2,i-10852.eqnx-core02.telstraglobal.net.,4637,
202.84.247.17,i-92.eqnx03.telstraglobal.net.,4637,
154.54.11.45,be4637.ccr41.sjc03.atlas.cogentco.com.,174,San Jose-US
154.54.43.13,be3670.ccr22.sfo01.atlas.cogentco.com.,174,
154.54.44.142,be3110.ccr32.slc01.atlas.cogentco.com.,174,
154.54.42.98,be3038.ccr22.den01.atlas.cogentco.com.,174,
154.54.31.90,be3036.ccr22.mci01.atlas.cogentco.com.,174,Kansas City-US
154.54.44.170,be2832.ccr42.ord01.atlas.cogentco.com.,174,Chicago-US
154.54.7.130,be2718.ccr22.cle04.atlas.cogentco.com.,174,
154.54.31.234,be2994.ccr32.yyz02.atlas.cogentco.com.,174,Toronto-CA
154.54.42.90,be3260.ccr22.ymq01.atlas.cogentco.com.,174,
154.54.44.165,be3043.ccr22.lpl01.atlas.cogentco.com.,174,
154.54.58.70,be2183.ccr42.ams03.atlas.cogentco.com.,174,
154.54.38.210,be2816.ccr42.ham01.atlas.cogentco.com.,174,Hamburg-DE
154.54.59.62,be3029.ccr21.prg01.atlas.cogentco.com.,174,Prague-CZ
154.54.59.106,be3045.ccr22.bts01.atlas.cogentco.com.,174,
154.54.37.234,te0-0-1-1.agr11.bts01.atlas.cogentco.com.,174,Bratislava-SK
154.25.4.26,te0-0-2-2.nr11.b020480-0.bts01.atlas.cogentco.com.,174,Bratislava-SK
149.6.26.146,vnet.demarc.cogentco.com.,29405,
185.176.72.113,vl582.n9six2.vnet.sk.,29405,
185.176.72.93,po942.n942.vnet.sk.,29405,
185.176.72.81,po55.n42.vnet.sk.,29405,
46.229.239.92,46.229.239.92.host.vnet.sk.,29405,
154.54.72.106,be2282.ccr22.sto03.atlas.cogentco.com.,174,
154.54.59.58,be3735.rcr51.rix01.atlas.cogentco.com.,174,Riga-LV
154.25.4.114,te0-0-2-2.nr11.b047393-0.rix01.atlas.cogentco.com.,174,Riga-LV
149.14.74.74,,5538,
85.254.196.211,,5538,
92.240.70.1,b.nic.lv.,5538,
202.84.157.38,,4637,
202.84.143.22,i-14256.jtha-core02.telstraglobal.net.,4637,
202.47.216.146,i-95.jtha01.telstraglobal.net.,4637,
61.120.146.97,ae-10.a01.tokyjp03.jp.bb.gin.ntt.net.,2914,tokyjp|jp
129.250.2.249,ae-11.r00.tokyjp08.jp.bb.gin.ntt.net.,2914,
129.250.6.126,ae-16.r30.tokyjp05.jp.bb.gin.ntt.net.,2914,
129.250.5.78,ae-4.r23.snjsca04.us.bb.gin.ntt.net.,2914,
129.250.4.155,ae-5.r25.dllstx09.us.bb.gin.ntt.net.,2914,
129.250.4.117,ae-11.r22.atlnga05.us.bb.gin.ntt.net.,2914,
129.250.5.210,ae-8.r03.atlnga05.us.bb.gin.ntt.net.,2914,atlnga|us
129.250.50.42,us-atl-as2914.anchors.atlas.ripe.net.,2914,
202.84.173.22,i-0-5-0-5.hkth12.telstraglobal.net.,4637,
134.159.128.6,,6453,
116.0.93.146,if-ae-37-4.tcore2.hk2-hong-kong.as6453.net.,6453,
180.87.15.80,if-ae-32-2.tcore2.svw-singapore.as6453.net.,6453,
180.87.12.1,if-ae-2-2.tcore1.svw-singapore.as6453.net.,6453,Singapore-SG
80.231.217.196,if-ae-31-5.tcore1.wyn-marseille.as6453.net.,6453,
80.231.217.2,if-ae-2-2.tcore2.wyn-marseille.as6453.net.,6453,Marseille-FR
80.231.200.78,if-ae-7-2.tcore2.fnm-frankfurt.as6453.net.,6453,
195.219.87.88,if-ae-14-3.thar1.f2c-frankfurt.as6453.net.,6453,
195.219.61.48,if-ae-12-2.thar1.f2c-frankfurt.as6453.net.,6453,Frankfurt-DE
195.219.61.14,,28753,
217.20.127.13,po-1.ce04.fra-10.de.leaseweb.net.,28753,
46.165.195.19,de-fra-as28753.anchors.atlas.ripe.net.,28753,
203.133.248.254,gw.rand.apnic.net.,4608,
138.44.129.153,ae2-223-pe1.fvly.qld.aarnet.net.au.,7575,
113.197.15.6,et-0-3-0.pe1.mcqp.nsw.aarnet.net.au.,7575,
113.197.15.143,et-0-1-0.pe1.bkvl.nsw.aarnet.net.au.,7575,New South Wales-AU
202.158.194.121,xe-0-2-5.bdr1.b.sea.aarnet.net.au.,6461,Seattle-US
64.125.193.129,xe-4-1-1.mpr1.sea1.us.above.net.,6461,Seattle-US
64.125.29.0,ae27.cs1.sea1.us.eth.zayo.com.,6461,
64.125.29.103,ae28.mpr2.sea1.us.zip.zayo.com.,6461,Seattle-US
154.54.10.145,be3033.ccr21.sea02.atlas.cogentco.com.,174,Seattle-US
154.54.2.198,be2085.ccr21.slc01.atlas.cogentco.com.,174,
154.54.41.146,be3037.ccr21.den01.atlas.cogentco.com.,174,
154.54.5.90,be3035.ccr21.mci01.atlas.cogentco.com.,174,
154.54.42.166,be2831.ccr41.ord01.atlas.cogentco.com.,174,Chicago-US
154.54.6.222,be2717.ccr21.cle04.atlas.cogentco.com.,174,
154.54.31.226,be2993.ccr31.yyz02.atlas.cogentco.com.,174,Toronto-CA
154.54.41.206,be3259.ccr21.ymq01.atlas.cogentco.com.,174,
154.54.44.161,be3042.ccr21.lpl01.atlas.cogentco.com.,174,
154.54.77.245,be2182.ccr41.ams03.atlas.cogentco.com.,174,
154.54.38.206,be2815.ccr41.ham01.atlas.cogentco.com.,174,Hamburg-DE
154.54.63.2,be2281.ccr21.sto03.atlas.cogentco.com.,174,
154.54.59.54,be3734.rcr51.rix01.atlas.cogentco.com.,174,Riga-LV
154.25.3.178,te0-0-2-0.nr11.b047393-0.rix01.atlas.cogentco.com.,174,Riga-LV
203.119.104.81,po-11-921.nxgw1.bne.apnic.net.,4608,
139.130.130.193,vlan103.cha30.brisbane.telstra.net.,1221,Brisbane-AU
203.50.51.1,Bundle-ether8-100.cha-core4.brisbane.telstra.net.,1221,
203.50.11.178,bundle-ether20.ken-core10.sydney.telstra.net.,1221,
203.50.6.61,bundle-ether1.pad-gw11.sydney.telstra.net.,1221,Sydney-AU
203.50.13.90,bundle-ether1.sydp-core04.sydney.reach.com.,4637,
202.84.141.25,i-20802.eqnx-core02.telstraglobal.net.,4637,
130.117.0.142,be2814.ccr42.fra03.atlas.cogentco.com.,174,
154.54.36.254,be2960.ccr22.muc03.atlas.cogentco.com.,174,
154.54.59.181,be3462.ccr52.vie01.atlas.cogentco.com.,174,Vienna-AT
154.54.59.210,be3466.agr11.vie01.atlas.cogentco.com.,174,
154.25.1.50,te0-0-1-0.nr11.b015975-1.vie01.atlas.cogentco.com.,174,Vienna-AT
149.6.174.138,,51184,
91.206.9.78,edge2-v2681.vix.as51184.net.,51184,
91.206.9.169,edge-v2604.oe3.as51184.net.,51184,
91.206.9.122,connex-v2641.oe3.as51184.net.,51184,
178.251.64.18,a.kernnetz.at.,51184,
