IP_ADDR,GEOGRAPHY_INFERENCE
185.28.220.70,Frankfurt-DE
210.57.81.12,Frankfurt-DE
202.84.153.25,Frankfurt-DE
202.84.153.25,Hong Kong-HK
202.84.153.25,London-GB
202.84.153.25,Singapore-SG
202.84.247.17,London-GB
154.54.43.13,Tokyo-JP
154.54.43.13,New York-US
154.54.43.13,Lisbon-PT
154.54.43.13,Boston-US
154.54.43.13,Amsterdam-NL
154.54.43.13,Taipei-TW
154.54.43.13,San Jose-US
154.54.43.13,Rio de Janeiro-BR
154.54.43.13,Atlanta-US
154.54.43.13,Chicago-US
154.54.43.13,Los Angeles-US
154.54.43.13,Seattle-US
154.54.43.13,Stockholm-SE
154.54.43.13,Bucharest-RO
154.54.43.13,Bogota-CO
154.54.43.13,Sao Paulo-BR
154.54.43.13,Paris-FR
154.54.43.13,Madrid-ES
154.54.43.13,Sydney-AU
154.54.43.13,Vienna-AT
154.54.43.13,Phoenix-US
154.54.43.13,Pittsburgh-US
154.54.43.13,Hong Kong-HK
154.54.43.13,Marseille-FR
154.54.43.13,Johannesburg-ZA
154.54.43.13,London-GB
154.54.43.13,Munich-DE
154.54.43.13,Denver-US
154.54.43.13,Houston-US
154.54.43.13,Warsaw-PL
154.54.43.13,Milan-IT
154.54.43.13,Frankfurt-DE
154.54.43.13,Sofia-BG
154.54.43.13,Manchester-GB
154.54.43.13,Philadelphia-US
154.54.43.13,Dallas-US
154.54.43.13,Singapore-SG
154.54.31.234,Amsterdam-NL
154.54.31.234,Miami-US
154.54.31.234,Dallas-US
154.54.31.234,Toronto-CA
154.54.59.106,Bratislava-SK
154.54.59.106,San Francisco-US
154.54.59.106,Prague-CZ
185.176.72.81,New York-US
185.176.72.81,Tokyo-JP
185.176.72.81,Lisbon-PT
185.176.72.81,Amsterdam-NL
185.176.72.81,Davenport-US
185.176.72.81,Zurich-CH
185.176.72.81,San Jose-US
185.176.72.81,Atlanta-US
185.176.72.81,Chicago-US
185.176.72.81,Prague-CZ
185.176.72.81,Moscow-RU
185.176.72.81,Los Angeles-US
185.176.72.81,Seattle-US
185.176.72.81,Stockholm-SE
185.176.72.81,Kobenhavn-DK
185.176.72.81,Bucharest-RO
185.176.72.81,Helsinki-FI
185.176.72.81,Sao Paulo-BR
185.176.72.81,Fortaleza-BR
185.176.72.81,Paris-FR
185.176.72.81,Berlin-DE
185.176.72.81,Madrid-ES
185.176.72.81,Sydney-AU
185.176.72.81,Winnipeg-CA
185.176.72.81,Vienna-AT
185.176.72.81,Salzburg-AT
185.176.72.81,Nurnberg-DE
185.176.72.81,Pittsburgh-US
185.176.72.81,Hong Kong-HK
185.176.72.81,Miami-US
185.176.72.81,Riga-LV
185.176.72.81,Brussels-BE
185.176.72.81,Marseille-FR
185.176.72.81,Barcelona-ES
185.176.72.81,Zwolle-NL
185.176.72.81,Dublin-IE
