city_name,state_province,country,latitude,longitude,source,asof_date,standard_city,standard_state,standard_country
Changi South,, Singapore,1.389044778364166,103.98701228871877,Telegeography,2022-04-11,Singapore,,SG
Tanah Merah,, Singapore,1.327257988673239,103.94658262985948,Telegeography,2022-04-11,Singapore,,SG
Singapore,, Singapore,1.293660845526915,103.85302800863454,Telegeography,2022-04-11,Singapore,,SG
Changi North,, Singapore,1.389044778364166,103.98701228871877,Telegeography,2022-04-11,Singapore,,SG
Batam,, Indonesia,1.066797999999523,104.01663700000026,Telegeography,2022-04-11,Singapore,,SG
Karimun,, Indonesia,0.769809997522032,103.40488379485404,Telegeography,2022-04-11,Singapore,,SG
Katong,, Singapore,1.309281803574862,103.90468812828809,Telegeography,2022-04-11,Singapore,,SG
Sakra Island,, Singapore,1.258916074584562,103.70419998906564,Telegeography,2022-04-11,Singapore,,SG
Tanjung Pinggir,, Indonesia,1.133478841137077,103.95972513555026,Telegeography,2022-04-11,Singapore,,SG
Tanjung Bemban,, Indonesia,1.173205471474546,104.13310593522468,Telegeography,2022-04-11,Singapore,,SG
La Union,, Philippines,16.615890599999688,120.32093730000017,Telegeography,2022-04-11,Baguio City,Benguet,PH
Mersing,, Malaysia,2.295733,103.849895,Telegeography,2022-04-11,Keluang,Johor,MY
Kuching,, Malaysia,1.520195000000285,110.35365999999985,Telegeography,2022-04-11,Kuching,Sarawak,MY
Kg Buntai,, Malaysia,1.675088253416448,110.29362075022723,Telegeography,2022-04-11,Kuching,Sarawak,MY
Tuas,, Singapore,1.338645999999613,103.64621000000031,Telegeography,2022-04-11,Johor Bahru,Johor,MY
Songkhla,, Thailand,7.07855900000024,100.59696300000056,Telegeography,2022-04-11,Songkhla,Songkhla (Songkhla Lake),TH
Lingshui,, China,18.389897000000133,110.04937200000026,Telegeography,2022-04-11,Sanya,Hainan,CN
Fano,, Denmark,55.44848,8.406946000000488,Telegeography,2022-04-11,Esbjerg,Syddanmark,DK
Houstrup,, Denmark,55.76459980196046,8.193131486241754,Telegeography,2022-04-11,Esbjerg,Syddanmark,DK
Blaabjerg,, Denmark,55.75167411423385,8.329194484059428,Telegeography,2022-04-11,Esbjerg,Syddanmark,DK
Endrup,, Denmark,55.523118197393956,8.718388990908409,Telegeography,2022-04-11,Esbjerg,Syddanmark,DK
Sylt,, Germany,54.89850565849039,8.383369077736603,Telegeography,2022-04-11,Esbjerg,Syddanmark,DK
TotalEnergies Halfdan,, Denmark,55.32214999999985,5.1805,Telegeography,2022-04-11,Leeuwarden,Friesland,NL
TotalEnergies Tyra,, Denmark,55.41867,4.513130000000331,Telegeography,2022-04-11,Leeuwarden,Friesland,NL
Tyra,, Denmark,55.7156069211332,4.748508371456069,Telegeography,2022-04-11,Leeuwarden,Friesland,NL
Valdemar,, Denmark,55.80407237566757,4.564328814430468,Telegeography,2022-04-11,Leeuwarden,Friesland,NL
Kulhudhufushi,, Maldives,6.622461999999445,73.07151799999988,Telegeography,2022-04-11,Malé,,MV
Hulhumale,, Maldives,4.21191399999978,73.54027200000024,Telegeography,2022-04-11,Malé,,MV
Thinadhoo,, Maldives,0.531092812926772,72.9976787731035,Telegeography,2022-04-11,Malé,,MV
Kolhufushi,, Maldives,2.776764140474484,73.42463159564608,Telegeography,2022-04-11,Malé,,MV
Eydhafushi,, Maldives,5.10323036500867,73.07082325253705,Telegeography,2022-04-11,Malé,,MV
Dhangethi,, Maldives,3.608093477292954,72.95558895917017,Telegeography,2022-04-11,Malé,,MV
Gan,, Maldives,1.918411782935948,73.5446510418731,Telegeography,2022-04-11,Malé,,MV
Gahdhoo,, Maldives,0.288802003782081,73.45549094878493,Telegeography,2022-04-11,Malé,,MV
Hithadhoo,, Maldives,-0.606021265123729,73.0891826145313,Telegeography,2022-04-11,Malé,,MV
Fuvahmulah,, Maldives,-0.298304384685196,73.42687768780482,Telegeography,2022-04-11,Malé,,MV
Male,, Maldives,4.166264250014393,73.49992451105788,Telegeography,2022-04-11,Malé,,MV
Nopigeia,, Greece,35.51233333000022,23.72250000000031,Telegeography,2022-04-11,Hania,Kriti,GR
Chania,, Greece,35.511999999999716,24.01221700000019,Telegeography,2022-04-11,Hania,Kriti,GR
Neapoli,, Greece,36.52322222000015,23.035747220000616,Telegeography,2022-04-11,Sparti,Peloponnisos,GR
Korakia,, Greece,35.40468699999957,24.931604989680153,Telegeography,2022-04-11,Iraklio,Kriti,GR
Tympaki,, Greece,35.071407569999735,24.768278120000275,Telegeography,2022-04-11,Iraklio,Kriti,GR
