ORGANIZATION,NODE_NAME,LATITUDE,LONGITUDE,CITY,STATE,COUNTRY,SOURCE,ASOF_DATE
1&1 Internet,1&1Internet1,39.11358052,-94.63014638,Kansas City,,US,Internet Atlas,2013-08-16
1&1 Internet,1&1Internet10,48.12994204,11.57499345,Munich,,DE,Internet Atlas,2013-08-16
1&1 Internet,1&1Internet11,48.99999229,8.399993448,Karlsruhe,,DE,Internet Atlas,2013-08-16
1&1 Internet,1&1Internet2,39.10708851,-94.60409422,Kansas City,,US,Internet Atlas,2013-08-16
1&1 Internet,1&1Internet3,41.82999066,-87.75005497,Chicago,,US,Internet Atlas,2013-08-16
1&1 Internet,1&1Internet4,40.74997906,-73.98001693,New York,,US,Internet Atlas,2013-08-16
1&1 Internet,1&1Internet5,38.89954938,-77.00941858,Washington DC,,US,Internet Atlas,2013-08-16
1&1 Internet,1&1Internet6,51.49999473,-0.116721844,London,,GB,Internet Atlas,2013-08-16
1&1 Internet,1&1Internet7,48.86669293,2.333335326,Paris,,FR,Internet Atlas,2013-08-16
1&1 Internet,1&1Internet8,52.34996869,4.916640176,Amsterdam,,NL,Internet Atlas,2013-08-16
1&1 Internet,1&1Internet9,50.09997683,8.67501542,Frankfurt,,DE,Internet Atlas,2013-08-16
123 Net Inc.,123Net0,46.54673118,-87.40658757,Marquette,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net1,44.76844179,-85.62217452,Traverse City,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net10,42.96371991,-85.66994938,Grand Rapids,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net100,42.65185264,-83.29022384,Pontiac,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net101,42.65185264,-83.29022384,Pontiac,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net102,42.65185264,-83.29022384,Pontiac,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net103,42.65185264,-83.29022384,Pontiac,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net104,42.65185264,-83.29022384,Pontiac,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net105,42.65185264,-83.29022384,Pontiac,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net106,42.65185264,-83.29022384,Pontiac,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net107,42.65185264,-83.29022384,Pontiac,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net108,42.65185264,-83.29022384,Pontiac,,US,Internet Atlas,2013-08-16
123 Net Inc.,123Net109,42.65185264,-83.29022384,Pontiac,,US,Internet Atlas,2013-08-16
