FROM_NODE,TO_NODE,SOURCE,ASOF_DATE
1&1Internet10,1&1Internet11,Internet Atlas,2013-08-16
1&1Internet10,1&1Internet9,Internet Atlas,2013-08-16
1&1Internet2,1&1Internet3,Internet Atlas,2013-08-16
1&1Internet2,1&1Internet5,Internet Atlas,2013-08-16
1&1Internet4,1&1Internet5,Internet Atlas,2013-08-16
1&1Internet4,1&1Internet6,Internet Atlas,2013-08-16
1&1Internet4,1&1Internet9,Internet Atlas,2013-08-16
1&1Internet5,1&1Internet6,Internet Atlas,2013-08-16
1&1Internet5,1&1Internet7,Internet Atlas,2013-08-16
1&1Internet6,1&1Internet8,Internet Atlas,2013-08-16
1&1Internet8,1&1Internet11,Internet Atlas,2013-08-16
1&1Internet8,1&1Internet9,Internet Atlas,2013-08-16
123Net1,123Net2,Internet Atlas,2013-08-16
123Net1,123Net51,Internet Atlas,2013-08-16
123Net10,123Net16,Internet Atlas,2013-08-16
123Net10,123Net9,Internet Atlas,2013-08-16
123Net101,123Net100,Internet Atlas,2013-08-16
123Net102,123Net101,Internet Atlas,2013-08-16
123Net103,123Net100,Internet Atlas,2013-08-16
123Net105,123Net106,Internet Atlas,2013-08-16
123Net105,123Net35,Internet Atlas,2013-08-16
123Net105,123Net85,Internet Atlas,2013-08-16
123Net105,123Net86,Internet Atlas,2013-08-16
123Net11,123Net14,Internet Atlas,2013-08-16
123Net11,123Net9,Internet Atlas,2013-08-16
123Net17,123Net14,Internet Atlas,2013-08-16
123Net19,123Net22,Internet Atlas,2013-08-16
123Net2,123Net3,Internet Atlas,2013-08-16
123Net20,123Net16,Internet Atlas,2013-08-16
123Net20,123Net18,Internet Atlas,2013-08-16
123Net20,123Net19,Internet Atlas,2013-08-16
123Net23,123Net22,Internet Atlas,2013-08-16
123Net23,123Net25,Internet Atlas,2013-08-16
123Net26,123Net25,Internet Atlas,2013-08-16
123Net26,123Net28,Internet Atlas,2013-08-16
123Net27,123Net25,Internet Atlas,2013-08-16
123Net27,123Net26,Internet Atlas,2013-08-16
123Net27,123Net28,Internet Atlas,2013-08-16
123Net28,123Net14,Internet Atlas,2013-08-16
123Net28,123Net18,Internet Atlas,2013-08-16
123Net28,123Net25,Internet Atlas,2013-08-16
